direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.50,0.00,0.25,0.25,0.12,0.12,0.00,0.25,0.12,0.25,0.00,0.00,0.12,0.12,0.12,0.50,0.00,0.00,0.00,0.00,0.08,0.21,0.00,0.19,0.12,0.19,0.17,0.08,0.14,0.06,0.06,0.13,0.19,0.12,0.12,0.25,0.00,0.12,0.06,0.08,0.121715076,0.092550375,0.105084591,0.095718063,0.107580945,0.093714103,0.097039372,0.098713450,0.094164461,0.105021313,0.094909064,0.101258978,0.116925538,0.097932458,0.102773048,0.103510872,0.109376065,0.097108513,0.101024233,0.101332523
0.75,0.00,0.12,0.25,0.00,0.25,0.87,0.25,0.37,0.00,0.12,0.00,0.12,0.00,1.24,22.73,0.12,0.00,0.00,0.12,30.61,32.53,29.81,29.68,32.33,32.96,46.16,33.61,33.23,35.37,39.69,25.29,38.45,45.53,45.91,36.44,31.93,32.04,38.06,43.52,0.159342378,0.164205328,0.159144327,0.155393839,0.173513398,0.160479933,0.160610333,0.172353506,0.152960420,0.166092634,0.164565936,0.160981759,0.173996225,0.166308522,0.163750783,0.156282812,0.170869395,0.156880602,0.168648139,0.158212736
0.37,50.06,0.00,0.12,0.00,59.75,78.63,0.12,38.76,0.62,0.12,0.12,0.37,88.82,64.10,20.00,0.37,0.00,72.05,85.22,56.95,58.85,54.93,51.56,66.90,65.65,82.26,55.98,63.44,68.75,75.59,43.14,68.36,84.98,69.53,59.09,53.89,57.93,69.53,87.75,0.072903343,0.063597575,0.067084178,0.077848479,0.063683972,0.066317990,0.053405076,0.074848413,0.067114830,0.060242284,0.056644075,0.089737073,0.055865109,0.050619707,0.060139265,0.069408290,0.070579641,0.068279758,0.058213186,0.050784890
73.17,79.88,59.13,67.45,91.43,86.83,100.00,72.80,74.04,94.04,91.80,50.81,98.76,99.13,90.81,53.54,82.86,83.48,94.66,97.89,75.61,78.94,77.75,74.43,90.60,86.75,100.00,78.07,81.61,93.48,91.04,59.47,97.96,98.71,89.46,71.39,81.30,80.99,93.65,97.75,0.037770495,0.035558686,0.039617442,0.042469367,0.032386944,0.034104750,0.026514415,0.038410053,0.034962010,0.031099165,0.028529612,0.055601239,0.030029856,0.028581789,0.031534009,0.037477221,0.038910273,0.035524040,0.030886419,0.027384035
75.90,85.47,76.15,66.83,97.39,97.64,100.00,91.30,80.37,100.00,96.27,60.25,100.00,100.00,100.00,68.57,97.64,90.06,99.13,97.89,80.62,83.79,80.96,77.27,98.05,96.34,100.00,90.50,89.16,100.00,95.38,64.55,100.00,100.00,100.00,79.45,96.52,88.61,99.36,97.75,0.027217112,0.026512040,0.030485796,0.030438513,0.023314385,0.025347603,0.019994644,0.027942438,0.026171202,0.022418780,0.021327402,0.040738638,0.021555720,0.020828228,0.023244122,0.027914152,0.027070440,0.025301021,0.022688935,0.020389680
80.00,85.47,79.25,75.40,94.29,98.76,100.00,98.76,83.11,100.00,98.39,71.43,100.00,100.00,100.00,82.86,100.00,90.31,100.00,97.89,83.89,83.79,83.18,83.98,97.34,98.14,100.00,97.97,92.97,100.00,98.23,70.98,100.00,100.00,100.00,84.93,100.00,88.99,100.00,97.75,0.024024904,0.022228247,0.026626304,0.026226308,0.019506369,0.021426927,0.018028755,0.024484267,0.022589967,0.019395037,0.018933509,0.032179296,0.019368984,0.018728588,0.019128304,0.025302904,0.021484271,0.021578841,0.020237768,0.018840477
80.00,87.95,80.37,76.40,99.75,98.76,100.00,100.00,96.77,100.00,98.39,73.42,100.00,100.00,100.00,81.37,100.00,89.94,100.00,98.26,83.89,87.92,86.37,85.08,99.61,98.14,100.00,100.00,96.30,100.00,98.23,75.26,100.00,100.00,100.00,84.07,100.00,88.82,100.00,98.18,0.022164200,0.020983562,0.024633804,0.023999272,0.018400880,0.019877236,0.017340235,0.022184383,0.020932924,0.019004889,0.018319232,0.028754160,0.018414153,0.017900312,0.018682351,0.023644676,0.019041069,0.020820964,0.018675296,0.018762879
80.00,87.95,85.22,84.10,99.75,98.88,100.00,100.00,96.77,100.00,98.39,70.93,100.00,100.00,100.00,83.60,100.00,89.94,100.00,98.26,83.89,87.74,89.60,86.83,99.57,98.57,100.00,100.00,96.30,100.00,98.23,73.86,100.00,100.00,100.00,87.36,100.00,88.82,100.00,98.18,0.021722509,0.020041579,0.022802083,0.023225125,0.018194284,0.019401113,0.018031966,0.020650687,0.020298256,0.018789699,0.018254628,0.026760891,0.018147908,0.018163132,0.017967779,0.023347700,0.018728796,0.019848671,0.018282777,0.019140383
79.38,87.95,86.34,84.10,100.00,98.88,100.00,100.00,96.77,100.00,98.39,74.04,100.00,100.00,100.00,83.60,100.00,89.94,100.00,98.26,84.92,87.74,88.52,86.83,100.00,98.57,100.00,100.00,96.30,100.00,98.23,77.57,100.00,100.00,100.00,87.36,100.00,88.82,100.00,98.18,0.021041041,0.021118641,0.022480732,0.022393355,0.018256932,0.018156568,0.017640425,0.019162249,0.019697180,0.018542385,0.018291503,0.026042061,0.017753640,0.018172840,0.017806720,0.022271618,0.017839964,0.020347564,0.018316230,0.018576398
79.38,87.95,86.34,84.10,100.00,98.88,100.00,100.00,96.77,100.00,98.39,74.04,100.00,100.00,100.00,82.11,100.00,89.94,100.00,98.26,84.92,87.74,88.52,86.83,100.00,98.57,100.00,100.00,96.30,100.00,98.23,77.57,100.00,100.00,100.00,88.58,100.00,88.82,100.00,98.18,0.020695036,0.021183174,0.022207992,0.021651966,0.018121297,0.017938724,0.017079441,0.018260704,0.019279305,0.018293740,0.017812029,0.025160491,0.017847860,0.018236749,0.017751196,0.022547713,0.017922591,0.019982353,0.017671991,0.018116267
