direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.00,0.25,0.00,0.25,0.12,0.00,0.00,0.37,0.25,0.12,0.25,0.12,0.25,0.00,0.12,0.00,0.12,0.12,0.00,0.50,0.19,0.00,0.12,0.12,0.06,0.40,0.26,0.06,0.06,0.25,0.06,0.00,0.19,0.12,0.12,0.06,0.12,0.12,0.12,0.06,0.188561440,0.096143767,0.092909098,0.089832470,0.096791282,0.088501185,0.089082353,0.087909460,0.097181372,0.097101465,0.092210658,0.088328660,0.097492591,0.104213938,0.088373154,0.090366989,0.093693085,0.094630599,0.095854260,0.096851416
0.12,0.00,0.37,0.62,0.00,0.25,0.37,0.00,1.12,0.12,0.00,0.00,0.12,0.00,0.00,0.62,0.00,0.00,0.00,0.25,27.78,36.78,30.45,29.41,35.49,34.41,40.79,32.28,38.02,36.68,39.09,22.99,44.63,43.53,42.63,25.07,33.14,26.84,36.70,41.47,0.061098386,0.056097917,0.052686535,0.051361807,0.055683043,0.054802105,0.050414518,0.055668656,0.053821288,0.058872391,0.054744273,0.055033214,0.057599209,0.062539399,0.052434396,0.049246304,0.058121007,0.057256065,0.058688421,0.058206081
17.52,2.48,0.12,0.37,2.11,0.00,85.47,0.00,44.60,0.00,74.41,0.00,60.50,87.33,0.75,1.49,0.00,7.08,0.00,77.76,49.63,52.18,52.35,50.95,70.74,56.30,85.42,51.26,61.88,65.08,72.26,39.46,74.00,85.29,65.22,53.00,53.67,60.55,62.49,78.70,0.026779024,0.023124935,0.024122374,0.025846120,0.022815457,0.021853428,0.018077742,0.025353860,0.023538411,0.020279288,0.018800206,0.030255428,0.018347755,0.016210398,0.020178573,0.023816178,0.024970416,0.023511939,0.020162091,0.018035136
66.21,76.52,0.12,64.47,85.34,48.70,99.13,78.14,62.11,97.02,88.20,0.25,100.00,99.75,95.28,57.52,0.12,86.58,98.39,95.90,74.41,77.18,69.11,70.54,87.52,84.30,99.08,76.89,76.37,94.95,89.28,56.74,100.00,99.50,93.06,70.94,74.97,84.00,97.19,95.72,0.015478714,0.012674416,0.013768728,0.015045473,0.011363587,0.011590719,0.008412128,0.013551583,0.011178710,0.010449262,0.009461042,0.018326106,0.008863807,0.008709243,0.010278074,0.013287155,0.013114361,0.011900336,0.010404003,0.010715716
74.53,81.74,63.11,54.91,95.78,95.53,100.00,88.57,78.51,99.63,97.27,57.39,100.00,100.00,98.51,68.70,96.52,89.57,99.25,96.77,80.36,83.24,79.23,72.92,95.95,96.26,100.00,87.75,87.34,99.29,96.22,62.01,100.00,100.00,97.83,83.73,94.87,88.24,98.90,96.47,0.009535845,0.009227414,0.010596562,0.010746098,0.008164182,0.007911766,0.006352853,0.009371293,0.007803229,0.007594746,0.007052758,0.013567787,0.006109866,0.006100926,0.007612206,0.009425770,0.009401465,0.008328105,0.007008896,0.007303706
79.13,85.34,79.63,72.67,99.01,97.76,100.00,89.44,80.75,100.00,97.27,62.61,100.00,100.00,100.00,71.80,98.63,90.19,100.00,96.77,85.23,85.54,83.62,81.75,98.55,96.06,100.00,94.14,90.39,100.00,96.22,68.15,100.00,100.00,100.00,79.69,98.42,88.70,100.00,96.47,0.007766212,0.007265362,0.009013204,0.009514472,0.006528999,0.006675531,0.005341724,0.007679466,0.006926061,0.005921917,0.005998605,0.010765235,0.005297303,0.005345985,0.006418226,0.008498314,0.006926130,0.007086283,0.005690873,0.006869697
79.13,85.34,78.88,67.58,98.88,96.89,100.00,98.88,82.73,100.00,98.39,68.32,100.00,100.00,100.00,81.37,99.75,90.19,100.00,98.14,85.23,85.21,84.13,81.78,98.25,97.58,100.00,98.64,92.99,100.00,97.97,73.50,100.00,100.00,100.00,86.09,99.51,88.70,100.00,98.13,0.007071266,0.006841340,0.007750777,0.008886576,0.005729846,0.006587179,0.005318256,0.006687545,0.006394550,0.005335019,0.005811913,0.009456711,0.005106141,0.005242825,0.005617118,0.007395551,0.006582988,0.005911091,0.005478828,0.006619516
80.37,87.83,85.59,83.98,99.75,99.13,100.00,100.00,83.60,100.00,98.39,68.57,100.00,100.00,100.00,76.02,100.00,90.06,100.00,98.14,85.10,87.05,89.15,86.25,99.57,98.76,100.00,100.00,93.90,100.00,97.97,73.15,100.00,100.00,100.00,87.43,100.00,88.84,100.00,97.91,0.006491353,0.006638095,0.007302170,0.007766981,0.005654414,0.005801016,0.005453194,0.006181247,0.005914932,0.005404514,0.005535470,0.008816593,0.005250159,0.005305056,0.005836777,0.007474893,0.005762813,0.006452519,0.005817430,0.006465511
80.37,87.83,85.84,83.98,100.00,96.65,100.00,100.00,83.60,100.00,98.76,68.57,100.00,100.00,100.00,76.02,100.00,90.06,100.00,98.14,85.10,87.05,88.55,86.25,100.00,97.19,100.00,100.00,93.90,100.00,98.15,73.15,100.00,100.00,100.00,87.43,100.00,88.84,100.00,97.91,0.006237121,0.006673785,0.007034249,0.007214795,0.005831050,0.005408216,0.005611321,0.006198497,0.005619353,0.005392012,0.005466815,0.008370570,0.005388030,0.004874749,0.005245898,0.007451845,0.005870720,0.006041488,0.005164669,0.005602730
80.50,87.83,86.58,77.89,100.00,96.65,100.00,100.00,83.60,100.00,99.13,73.04,100.00,100.00,100.00,87.83,100.00,90.06,100.00,98.14,85.62,87.05,90.93,87.65,100.00,97.19,100.00,100.00,93.90,100.00,98.73,77.09,100.00,100.00,100.00,89.16,100.00,88.84,100.00,97.91,0.006304730,0.006232791,0.006356973,0.007507720,0.005820783,0.005312180,0.005220824,0.005383770,0.006095269,0.005554888,0.005193026,0.007984962,0.005396062,0.005034620,0.005183807,0.006931997,0.005564735,0.005835240,0.005436502,0.006324147
80.50,89.32,86.58,77.89,100.00,96.65,100.00,100.00,84.97,100.00,99.13,77.64,100.00,100.00,100.00,82.36,100.00,90.06,100.00,98.14,85.62,88.49,90.93,87.65,100.00,97.19,100.00,100.00,94.53,100.00,98.73,78.87,100.00,100.00,100.00,87.17,100.00,88.84,100.00,97.91,0.006186555,0.006624405,0.006502528,0.006731545,0.005740881,0.005776083,0.005319863,0.005044050,0.005786210,0.005892652,0.005335299,0.007915818,0.005102858,0.005221104,0.005309316,0.006665264,0.005877775,0.006213234,0.005374340,0.006775757
80.50,89.32,86.58,73.91,100.00,98.88,100.00,100.00,84.97,100.00,99.13,77.64,100.00,100.00,100.00,82.36,100.00,90.06,100.00,98.14,86.46,88.49,90.93,86.30,100.00,98.57,100.00,100.00,94.53,100.00,98.73,78.87,100.00,100.00,100.00,87.17,100.00,88.84,100.00,97.91,0.006320585,0.006293975,0.006491773,0.006569439,0.005293043,0.005875191,0.005054945,0.005357718,0.005355972,0.005521223,0.004827883,0.007606129,0.005229066,0.005212513,0.005455639,0.006501829,0.005357858,0.006106723,0.005382234,0.005877077
