direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.03,0.03,0.03,0.00,0.08,0.00,1.185846925,1.209232211,1.180723548
0.12,0.00,0.06,32.14,22.07,26.44,0.129071251,0.125055522,0.143631414
0.00,0.00,0.06,59.76,22.07,26.44,0.036479887,0.075585894,0.067465179
95.82,0.00,0.00,94.52,22.07,62.28,0.024030263,0.064684913,0.032391451
98.30,0.18,69.67,97.85,57.52,80.41,0.004921532,0.045856677,0.019836990
99.30,0.18,83.55,99.14,57.52,89.12,0.005108992,0.029843906,0.010147651
99.30,0.03,85.91,99.14,66.77,93.62,0.004641180,0.023696268,0.008724518
99.30,0.03,85.91,99.14,66.77,93.62,0.003569848,0.022412753,0.005661246
99.30,0.00,85.91,99.10,65.34,93.62,0.003513624,0.025234016,0.005634146
99.30,0.09,85.91,99.10,67.46,93.62,0.004245236,0.016741868,0.004686228
99.30,0.09,85.91,99.10,67.46,93.62,0.003692284,0.013705068,0.004687416
99.30,0.09,85.91,99.10,67.46,93.62,0.003220630,0.012339414,0.004991794
99.30,0.03,85.91,99.10,71.11,93.62,0.003582908,0.011453938,0.005207821
99.30,0.00,90.76,99.10,73.82,96.26,0.004878927,0.010073478,0.005011002
99.30,0.00,90.76,99.10,73.82,96.26,0.005385991,0.011720321,0.007103377
99.42,0.00,90.76,99.33,73.82,96.26,0.004291542,0.011826274,0.008515476
99.42,0.00,90.76,99.33,73.82,96.26,0.003422338,0.009842854,0.006597150
99.42,70.58,90.76,99.33,77.03,96.26,0.003999456,0.008942360,0.005899342
99.42,70.58,90.79,99.33,77.03,96.57,0.003477445,0.010695156,0.005886072
99.42,70.58,90.79,99.33,77.03,96.57,0.003628237,0.009216636,0.006030997
99.42,70.85,90.79,99.33,77.20,96.57,0.004542281,0.009183740,0.004898414
99.42,70.85,90.79,99.33,77.20,96.57,0.005402755,0.009447889,0.005890892
99.42,70.85,90.79,99.33,77.20,96.57,0.004275548,0.008218361,0.005268864
99.42,71.36,90.79,99.33,78.26,96.57,0.006378121,0.008570163,0.005080496
99.42,71.36,90.79,99.33,78.26,96.57,0.005805542,0.010245223,0.005479862
99.42,71.36,90.79,99.33,78.26,96.20,0.006214547,0.009560546,0.005962411
99.42,71.36,90.79,99.33,78.26,96.20,0.004826615,0.007787705,0.005822444
99.48,70.91,90.79,99.45,78.37,96.20,0.005736747,0.008636585,0.006762540
99.48,71.24,90.79,99.45,78.49,96.20,0.004169735,0.006471851,0.005410926
99.48,71.24,90.79,99.45,78.49,96.20,0.003848663,0.006707783,0.005171502
99.48,71.24,90.79,99.45,78.49,96.20,0.006207633,0.009315185,0.005183515
99.48,71.24,90.79,99.45,78.49,96.20,0.006160977,0.009316652,0.004996754
99.48,71.24,90.79,99.45,78.49,96.20,0.004994029,0.011262915,0.006394814
99.48,71.24,91.24,99.45,78.49,97.06,0.004945419,0.009143580,0.005697634
99.48,71.24,91.24,99.45,78.49,97.06,0.004455535,0.009876030,0.006297102
99.48,71.24,91.24,99.45,78.49,97.06,0.004580275,0.007429407,0.005720683
99.48,71.24,91.24,99.45,78.49,97.06,0.004478723,0.009188350,0.006357726
99.48,71.24,91.24,99.45,78.49,97.06,0.005085245,0.009455082,0.006030439
