direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.08,0.00,0.00,0.04,0.02,0.08,6.135625839,6.042149544,6.036478519
0.04,0.04,0.21,47.01,39.65,29.82,1.956399441,1.968409300,2.148442745
92.80,0.42,0.08,92.21,63.95,57.01,0.320963234,0.651023030,0.749449790
98.98,66.95,93.39,98.55,74.78,91.81,0.081790909,0.234264761,0.208546162
99.83,69.15,99.28,99.76,78.19,98.75,0.057395492,0.157244012,0.083275855
99.92,74.03,99.79,99.83,79.78,99.64,0.053308882,0.133800149,0.060731355
99.92,74.03,100.00,99.83,79.78,100.00,0.053617027,0.122556597,0.054970529
99.92,76.14,100.00,99.83,81.74,100.00,0.053115413,0.123779140,0.054209512
99.92,74.24,100.00,99.83,81.48,100.00,0.052655704,0.116269358,0.056857560
99.92,72.16,100.00,99.83,82.06,100.00,0.052897848,0.118958548,0.056584887
99.92,72.16,100.00,99.83,82.06,100.00,0.066288941,0.113873802,0.060400646
99.92,75.13,100.00,99.83,81.85,100.00,0.073199674,0.108119741,0.060318932
99.92,75.17,100.00,99.83,82.36,100.00,0.065023936,0.107215762,0.058436580
99.92,75.17,100.00,99.83,82.36,100.00,0.066023253,0.107173711,0.059497152
99.92,75.17,100.00,99.83,82.36,100.00,0.056131531,0.107652001,0.057379570
99.92,75.17,100.00,99.83,82.36,100.00,0.055168040,0.109398857,0.054349408
99.92,75.17,100.00,99.83,82.36,100.00,0.057664528,0.105577648,0.053292327
99.92,75.17,100.00,99.83,82.36,100.00,0.055696268,0.107678123,0.054724399
99.92,80.08,100.00,99.83,84.63,100.00,0.055512372,0.104379624,0.053706501
99.92,80.08,100.00,99.83,84.63,100.00,0.054274604,0.104652293,0.053669199
99.92,80.08,100.00,99.83,84.63,100.00,0.054957531,0.104739666,0.053810567
99.92,80.08,100.00,99.83,84.63,100.00,0.053328924,0.105830483,0.053581059
99.92,80.08,100.00,99.83,84.63,100.00,0.053973649,0.105251968,0.055181455
99.92,80.08,100.00,99.83,84.63,100.00,0.055898186,0.103917606,0.055369124
99.92,80.08,100.00,99.83,84.63,100.00,0.054895163,0.109082952,0.055585776
99.92,80.08,100.00,99.83,84.63,100.00,0.063176297,0.102537565,0.053927906
99.92,80.08,100.00,99.83,84.63,100.00,0.062084783,0.102583393,0.054659933
99.92,77.12,100.00,99.83,82.68,100.00,0.063868865,0.101512201,0.053099699
99.92,77.12,100.00,99.83,82.68,100.00,0.064025871,0.100622259,0.054883640
99.92,77.12,100.00,99.83,82.68,100.00,0.067451000,0.100738265,0.053723194
99.92,77.12,100.00,99.83,82.68,100.00,0.067808665,0.102310792,0.053923573
99.92,77.12,100.00,99.83,82.68,100.00,0.066026606,0.101263694,0.053817760
99.92,77.12,100.00,99.83,82.68,100.00,0.066470258,0.099110141,0.052911751
99.92,77.12,100.00,99.83,82.68,100.00,0.070491351,0.099121042,0.054961935
99.92,80.42,100.00,99.83,85.11,100.00,0.059209395,0.097585395,0.054182135
99.92,80.42,100.00,99.83,85.11,100.00,0.058814500,0.095929682,0.053526513
99.92,80.42,100.00,99.83,85.11,100.00,0.058974791,0.097454995,0.053989436
99.92,80.42,100.00,99.83,85.11,100.00,0.059689362,0.102054536,0.057151601
99.92,80.42,100.00,99.83,85.11,100.00,0.057862114,0.099567965,0.053758532
99.92,80.42,100.00,99.83,85.11,100.00,0.056905746,0.099744953,0.056491788
99.92,80.59,100.00,99.83,84.69,100.00,0.055363674,0.101523452,0.059057627
99.92,80.38,100.00,99.83,84.36,100.00,0.052875642,0.099479266,0.055276792
99.92,80.08,100.00,99.83,84.80,100.00,0.052545700,0.101664037,0.057120241
99.92,80.08,100.00,99.83,84.80,100.00,0.053583644,0.098669775,0.055384699
99.92,80.08,100.00,99.83,84.80,100.00,0.053361610,0.095585421,0.054631367
99.92,80.08,100.00,99.83,84.80,100.00,0.051566213,0.097661935,0.053981192
99.92,80.08,100.00,99.83,84.80,100.00,0.052563787,0.096594445,0.052609328
99.92,80.08,100.00,99.83,84.80,100.00,0.050550409,0.100374036,0.053196151
99.92,80.08,100.00,99.83,84.80,100.00,0.051914312,0.098272160,0.053957310
99.92,80.08,100.00,99.83,84.80,100.00,0.050596155,0.097002476,0.054605942
99.92,80.08,100.00,99.83,84.80,100.00,0.050562494,0.097539507,0.054404374
99.92,80.08,100.00,99.83,84.80,100.00,0.050536513,0.097962409,0.055485137
99.92,80.08,100.00,99.83,84.80,100.00,0.049590692,0.095777147,0.055909712
99.92,80.08,100.00,99.83,84.80,100.00,0.049766209,0.099075846,0.056951359
99.92,81.44,100.00,99.83,86.12,100.00,0.051141217,0.095926680,0.055885408
99.92,81.44,100.00,99.83,86.12,100.00,0.051291727,0.097104169,0.056838494
99.92,81.44,100.00,99.83,86.12,100.00,0.052550100,0.096368089,0.054915633
99.92,81.40,100.00,99.83,85.38,100.00,0.054589041,0.095058173,0.058722101
99.92,81.40,100.00,99.83,85.38,100.00,0.058129337,0.099985488,0.060769562
99.92,81.40,100.00,99.83,85.38,100.00,0.058634657,0.095717840,0.063233219
99.92,81.40,100.00,99.83,85.38,100.00,0.054213073,0.096425980,0.059184045
99.92,81.40,100.00,99.83,85.38,100.00,0.056721639,0.096666947,0.063169241
99.92,81.40,100.00,99.83,85.38,100.00,0.053179808,0.096528932,0.058664199
99.92,81.40,100.00,99.83,85.38,100.00,0.053405892,0.095494978,0.058385737
99.92,81.40,100.00,99.83,85.38,100.00,0.052624900,0.096798740,0.063099615
99.92,81.40,100.00,99.83,85.38,100.00,0.052798320,0.099859074,0.058705054
99.92,81.40,100.00,99.83,85.38,100.00,0.053165700,0.100207739,0.056207176
99.92,81.40,100.00,99.83,85.38,100.00,0.053330179,0.095460683,0.056214441
99.92,81.40,100.00,99.83,85.38,100.00,0.054159366,0.097617522,0.053982172
99.92,81.40,100.00,99.83,85.38,100.00,0.054557472,0.100458473,0.054077927
99.92,81.40,100.00,99.83,85.38,100.00,0.051533736,0.099880166,0.054925129
99.92,81.40,100.00,99.83,85.38,100.00,0.055317927,0.096133418,0.053418882
99.92,81.40,100.00,99.83,85.38,100.00,0.054701976,0.095197089,0.055633690
99.92,81.40,100.00,99.83,85.38,100.00,0.054371547,0.093788490,0.055254091
