direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.23,0.00,0.00,1.39,0.00,0.23,0.00,0.00,0.00,0.69,0.69,0.23,0.23,0.46,0.00,0.46,0.00,0.23,0.46,0.23,0.15,0.35,0.12,0.27,0.15,0.00,0.25,0.12,0.00,0.77,0.12,0.15,0.00,0.35,0.23,0.12,0.12,0.15,0.42,0.23,0.240182832,0.214807734,0.216514632,0.212403640,0.179326102,0.211488664,0.214221865,0.219261169,0.212671056,0.221151084,0.237196162,0.218928307,0.182842582,0.228539497,0.171352446,0.227815777,0.218992680,0.211785719,0.218402088,0.217965990
0.23,1.39,0.69,0.23,5.79,1.85,0.23,3.70,13.89,0.46,0.00,0.93,0.46,0.93,0.23,0.23,0.23,0.23,1.62,0.00,29.42,32.74,43.63,23.24,59.09,32.48,38.89,62.04,37.02,43.33,52.20,66.34,29.51,44.48,28.55,54.69,50.27,65.35,60.42,64.80,0.010249999,0.010786329,0.009979075,0.010408754,0.011558732,0.010375648,0.010806095,0.012430173,0.013404006,0.010714460,0.013182740,0.010057230,0.010964082,0.009947575,0.012156526,0.012970625,0.011921221,0.010314395,0.013034812,0.010523717
65.28,83.10,91.44,55.79,98.15,53.47,64.81,100.00,1.16,90.97,98.15,86.11,73.15,100.00,0.23,98.61,85.19,91.20,100.00,100.00,66.55,81.10,91.18,51.76,96.62,70.43,68.92,100.00,64.14,90.88,96.78,91.61,65.08,100.00,56.77,98.32,84.32,91.63,100.00,100.00,0.005867928,0.005288713,0.005296257,0.005761626,0.005767772,0.005744654,0.006729731,0.005803252,0.007013786,0.005554399,0.006994229,0.005333693,0.007374599,0.004700209,0.006872422,0.007422303,0.005430147,0.004961914,0.005893980,0.005265456
80.09,82.87,99.07,55.79,100.00,92.82,91.90,100.00,96.99,100.00,100.00,94.44,89.12,100.00,0.23,100.00,100.00,100.00,100.00,100.00,80.69,80.63,98.75,51.76,100.00,90.41,90.24,100.00,96.64,100.00,100.00,93.29,87.15,100.00,84.36,100.00,100.00,100.00,100.00,100.00,0.004287642,0.004536146,0.003818710,0.004538381,0.003967478,0.004628969,0.004529790,0.004463649,0.004002818,0.003957071,0.004178057,0.004131401,0.006175590,0.004731709,0.004780600,0.003618259,0.003828209,0.003779598,0.004002819,0.003690128
89.58,84.26,100.00,64.12,100.00,99.54,98.84,100.00,100.00,100.00,100.00,94.68,90.97,100.00,92.13,100.00,100.00,100.00,100.00,100.00,87.46,82.29,100.00,63.45,100.00,99.15,97.74,100.00,100.00,100.00,100.00,94.04,88.87,100.00,89.72,100.00,100.00,100.00,100.00,100.00,0.004080974,0.003428214,0.003519709,0.004480830,0.003494985,0.004390732,0.003398320,0.002976534,0.003449307,0.003225666,0.003326451,0.003088703,0.003375272,0.003967478,0.003943312,0.002850466,0.003458666,0.002769168,0.002914583,0.003249343
89.81,84.26,100.00,65.51,100.00,100.00,99.54,100.00,100.00,100.00,100.00,92.36,90.97,100.00,95.14,100.00,100.00,100.00,100.00,100.00,87.48,82.29,100.00,63.29,100.00,100.00,99.09,100.00,100.00,100.00,100.00,94.73,88.87,100.00,93.40,100.00,100.00,100.00,100.00,100.00,0.003808513,0.003754873,0.002955441,0.003714224,0.003366961,0.003353061,0.003748657,0.002911858,0.003212815,0.003124254,0.003376041,0.003022211,0.003501759,0.002694924,0.003347963,0.002962984,0.003255839,0.002801296,0.003160363,0.003128724
90.28,84.26,100.00,64.81,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.14,90.97,100.00,95.14,100.00,100.00,100.00,100.00,100.00,87.69,82.29,100.00,63.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.02,88.87,100.00,93.40,100.00,100.00,100.00,100.00,100.00,0.003705284,0.003086956,0.002825601,0.003562175,0.003386168,0.003513633,0.003635999,0.003013132,0.002841666,0.003572651,0.003177545,0.003274697,0.002849907,0.002693247,0.003529767,0.002740113,0.004739671,0.003124743,0.003354389,0.003022421
90.28,84.26,100.00,64.81,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.20,90.97,100.00,94.44,100.00,100.00,100.00,100.00,100.00,87.69,82.29,100.00,63.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.51,88.87,100.00,92.59,100.00,100.00,100.00,100.00,100.00,0.003100018,0.003579076,0.002896283,0.003872769,0.004400719,0.003027799,0.002875260,0.003282171,0.002906480,0.003379183,0.003270018,0.003550021,0.003187253,0.003287059,0.003260658,0.003115732,0.003001328,0.002836427,0.002906131,0.003150584
91.44,83.80,100.00,64.81,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.20,90.97,100.00,93.98,100.00,100.00,100.00,100.00,100.00,88.75,82.14,100.00,63.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.51,88.87,100.00,92.32,100.00,100.00,100.00,100.00,100.00,0.003374993,0.003353900,0.002657138,0.004050592,0.002532187,0.002953975,0.003262055,0.002846414,0.002653437,0.003506649,0.003592067,0.002849418,0.003014948,0.002666288,0.003388822,0.002700162,0.003538636,0.002671666,0.002853399,0.003129422
91.44,83.80,100.00,64.81,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.83,90.97,100.00,93.98,100.00,100.00,100.00,100.00,100.00,88.75,82.14,100.00,63.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.80,88.87,100.00,92.32,100.00,100.00,100.00,100.00,100.00,0.002961377,0.003527392,0.002860593,0.004094245,0.002650153,0.002733128,0.003346357,0.002980654,0.002894886,0.002754989,0.003258214,0.003059648,0.002715597,0.003004611,0.003363190,0.003333505,0.002818268,0.003320236,0.003084233,0.003152261
