direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.00,0.19,0.00,0.56,0.00,0.00,0.00,0.19,0.00,0.56,0.00,0.00,0.37,0.00,0.19,0.37,0.19,0.37,0.56,0.19,0.19,0.46,0.09,0.28,0.37,0.19,0.19,0.28,0.28,0.59,0.28,0.28,0.28,0.19,0.28,0.00,0.28,0.00,0.00,0.28,0.076829866,0.057132810,0.057936158,0.056729674,0.059084803,0.065068178,0.056727089,0.069495223,0.056486476,0.056873411,0.056357406,0.057933152,0.059466500,0.055569008,0.058365624,0.061924722,0.067516059,0.057242256,0.056808107,0.058995266
0.19,0.19,0.19,0.00,0.19,0.19,0.00,0.56,0.56,0.00,0.56,0.00,0.19,1.30,0.00,0.00,0.19,0.19,0.00,0.19,32.61,43.15,23.53,37.24,34.41,30.42,52.19,37.21,31.22,52.21,47.90,34.66,44.20,49.68,61.19,55.79,23.32,34.35,41.34,38.87,0.063467503,0.058061037,0.065803356,0.053613875,0.057617247,0.063104875,0.049685165,0.061759192,0.054158937,0.057781171,0.059903163,0.057446480,0.059317175,0.057252385,0.053477261,0.057370909,0.067642614,0.058988627,0.058213085,0.062060423
62.22,72.59,0.37,2.04,60.19,0.19,99.07,0.74,23.15,93.89,94.44,0.56,79.81,92.96,97.41,98.33,0.00,53.89,76.30,0.37,72.62,73.06,47.92,71.67,64.48,50.19,98.19,49.97,41.11,90.42,91.53,57.15,79.98,90.25,96.60,96.96,53.16,66.70,75.03,51.70,0.029892636,0.027966764,0.032884739,0.027100701,0.029705103,0.034158271,0.026649510,0.033749685,0.031621687,0.026305391,0.025559528,0.029795691,0.027438952,0.026091736,0.022340151,0.024424845,0.035042424,0.031482209,0.032903247,0.030285852
97.96,89.44,39.26,91.48,86.67,85.93,100.00,44.07,50.00,100.00,100.00,81.48,100.00,100.00,100.00,100.00,0.00,78.33,97.22,79.44,97.13,88.64,59.81,89.75,87.11,85.79,100.00,60.65,58.10,100.00,100.00,80.65,100.00,100.00,100.00,100.00,66.68,81.81,96.42,80.69,0.019445058,0.019763824,0.023206145,0.019193619,0.020917784,0.024989184,0.016332472,0.024953634,0.024395231,0.018474719,0.017276688,0.021015773,0.020279272,0.019533200,0.016714515,0.018721476,0.024670836,0.021521790,0.018391045,0.021579552
100.00,91.30,46.11,96.48,91.11,94.07,100.00,61.30,0.00,100.00,100.00,96.48,100.00,100.00,100.00,100.00,78.15,81.11,99.44,98.52,100.00,89.43,61.51,95.17,92.02,92.82,100.00,69.49,60.91,100.00,100.00,94.83,100.00,100.00,100.00,100.00,80.08,88.94,99.06,97.01,0.016412582,0.017235760,0.019878227,0.015907401,0.017855832,0.020980012,0.013193903,0.020768248,0.020829989,0.014881817,0.013946958,0.016448341,0.016211502,0.015458237,0.013630286,0.015197929,0.020698752,0.018098958,0.015673636,0.019076910
100.00,92.78,47.78,95.93,92.96,100.00,100.00,61.30,55.74,100.00,100.00,97.96,100.00,100.00,100.00,100.00,68.70,84.81,99.26,99.63,100.00,92.16,67.25,95.65,94.24,100.00,100.00,69.49,65.31,100.00,100.00,96.53,100.00,100.00,100.00,100.00,82.38,89.89,99.20,99.27,0.014185335,0.015050699,0.017775584,0.014363436,0.016085923,0.017676404,0.013156606,0.019125521,0.020254128,0.013963511,0.012784968,0.015130320,0.014061641,0.014489085,0.013315990,0.015029954,0.018199673,0.015446433,0.014105991,0.017778376
100.00,92.78,50.00,95.93,93.15,100.00,100.00,61.30,55.74,100.00,100.00,97.78,100.00,100.00,100.00,100.00,75.37,85.93,99.26,99.63,100.00,92.16,68.89,95.65,94.92,100.00,100.00,69.49,65.31,100.00,100.00,96.50,100.00,100.00,100.00,100.00,82.39,90.39,99.20,99.27,0.014013100,0.014433839,0.018048253,0.013480262,0.014769368,0.015902372,0.013350982,0.018075213,0.019410484,0.013345393,0.012858512,0.015346487,0.014073794,0.013878162,0.013206265,0.014232549,0.019272264,0.015130878,0.013354961,0.016158698
100.00,92.78,50.00,95.93,93.15,100.00,100.00,61.30,67.59,100.00,100.00,97.96,100.00,100.00,100.00,100.00,77.78,85.93,99.26,99.63,100.00,92.16,68.89,95.65,94.92,100.00,100.00,69.49,67.13,100.00,100.00,97.13,100.00,100.00,100.00,100.00,86.14,90.39,99.20,99.27,0.014217882,0.014477282,0.017450320,0.014157048,0.014048860,0.015103012,0.012779660,0.017820632,0.018837417,0.013815162,0.013280020,0.014985883,0.013698454,0.013647747,0.013939414,0.014437051,0.017181002,0.014618435,0.013540327,0.014244492
100.00,92.78,50.00,95.93,93.70,100.00,100.00,61.30,63.89,100.00,100.00,98.33,100.00,100.00,100.00,100.00,83.89,85.93,99.26,99.63,100.00,92.16,68.89,95.65,95.69,100.00,100.00,69.49,71.54,100.00,100.00,97.33,100.00,100.00,100.00,100.00,86.37,90.39,99.20,99.26,0.014250779,0.013930055,0.016867263,0.014386205,0.014307911,0.014913246,0.012963069,0.017513737,0.019143052,0.013530201,0.012684183,0.014815045,0.013841983,0.013521260,0.014009258,0.014382014,0.017187567,0.014776213,0.013871107,0.013645442
100.00,91.85,50.00,95.93,93.70,100.00,100.00,61.30,63.89,100.00,100.00,98.70,100.00,100.00,100.00,100.00,83.89,85.93,99.26,99.63,100.00,91.28,68.89,95.65,95.69,100.00,100.00,69.49,71.54,100.00,100.00,98.29,100.00,100.00,100.00,100.00,86.37,90.39,99.20,99.26,0.014980575,0.013625397,0.017171364,0.014109903,0.014397520,0.014868336,0.012943234,0.017597200,0.019242439,0.014020364,0.013228405,0.014527848,0.012955665,0.014034263,0.014294430,0.015104199,0.016771788,0.014123941,0.013365857,0.012877790
100.00,91.85,45.37,95.93,93.70,100.00,100.00,61.30,63.89,100.00,100.00,99.63,100.00,100.00,100.00,100.00,83.89,85.93,99.26,99.63,100.00,91.28,67.39,95.65,95.69,100.00,100.00,69.49,71.54,100.00,100.00,99.38,100.00,100.00,100.00,100.00,86.37,90.39,99.20,99.26,0.014081757,0.013428438,0.016795885,0.013454630,0.014562980,0.014628074,0.012575855,0.017273616,0.019310817,0.013935923,0.012931080,0.014595806,0.013015382,0.015761290,0.013736588,0.015044971,0.016807755,0.014323065,0.013217510,0.013381083
100.00,91.85,45.37,95.93,93.70,100.00,100.00,61.30,63.89,100.00,100.00,99.63,100.00,100.00,100.00,100.00,83.89,85.93,99.26,99.63,100.00,91.28,67.39,95.65,95.69,100.00,100.00,69.49,71.54,100.00,100.00,99.38,100.00,100.00,100.00,100.00,86.37,90.39,99.20,99.26,0.014037825,0.013986350,0.016993472,0.013751256,0.014609007,0.014555786,0.013248591,0.017319642,0.019688811,0.013753421,0.013281905,0.013522098,0.013068742,0.020998033,0.014127853,0.014508361,0.016451763,0.013840236,0.013187267,0.013283861
100.00,91.85,45.37,95.93,93.70,100.00,100.00,61.30,63.89,100.00,100.00,99.63,100.00,100.00,100.00,100.00,83.89,85.93,99.26,99.63,100.00,91.28,67.39,95.65,95.69,100.00,100.00,69.49,71.54,100.00,100.00,99.38,100.00,100.00,100.00,100.00,86.37,90.39,99.20,99.26,0.013313056,0.014265027,0.016948145,0.013236088,0.014691073,0.013887870,0.013213669,0.017351910,0.018066481,0.013863355,0.012960136,0.013700898,0.013632102,0.013952964,0.013716892,0.014318107,0.015733210,0.013895552,0.013650191,0.013167641
100.00,91.85,45.37,95.93,93.70,100.00,100.00,45.19,63.89,100.00,100.00,99.63,100.00,100.00,100.00,100.00,83.89,85.93,99.26,99.63,100.00,91.28,67.39,95.65,95.69,100.00,100.00,64.77,71.54,100.00,100.00,99.38,100.00,100.00,100.00,100.00,86.37,90.39,99.20,99.26,0.013522797,0.013746716,0.016353006,0.013498212,0.014702249,0.013824731,0.012945399,0.017214108,0.017899066,0.013584539,0.012609450,0.013475791,0.013701247,0.013387998,0.014236460,0.014320971,0.015015008,0.013706974,0.013040037,0.013735680
