direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.93,0.00,0.69,0.00,0.00,0.00,0.00,0.46,0.46,0.23,0.00,0.00,0.00,0.23,0.23,0.46,0.46,0.00,0.23,0.46,0.35,0.35,0.23,0.48,0.00,0.46,0.00,0.12,0.12,0.48,0.14,0.23,0.12,0.81,0.12,0.12,0.37,0.00,0.12,0.00,0.102983370,0.044171333,0.040781472,0.039632890,0.040687248,0.040363103,0.039438725,0.063002527,0.083147481,0.069239080,0.041689087,0.040203441,0.041415229,0.040081356,0.040455930,0.091238879,0.051619396,0.041033395,0.054595787,0.043326575
0.00,0.23,1.39,0.00,0.00,0.23,0.23,0.00,0.46,0.00,0.23,1.16,0.00,0.00,0.00,0.00,0.69,0.00,0.00,0.00,24.75,30.02,31.87,25.79,34.82,27.80,34.28,49.17,38.39,27.84,42.38,44.37,29.65,52.70,29.44,32.06,41.22,31.25,37.71,44.06,0.003312967,0.002600980,0.001802248,0.001376200,0.001358600,0.001348961,0.002573601,0.002443483,0.001944519,0.002348774,0.002004584,0.002218027,0.002518285,0.002333967,0.001904429,0.002888806,0.001813422,0.002626403,0.002514234,0.002632690
0.00,0.23,0.46,0.00,0.23,0.00,0.23,82.87,0.23,0.46,0.00,71.30,52.78,89.12,0.23,0.00,1.16,0.23,0.00,1.39,43.00,59.59,58.22,25.79,66.72,51.72,54.13,85.88,57.02,47.24,60.59,75.66,54.94,86.23,56.96,48.82,50.91,54.46,50.87,78.30,0.002200496,0.001383325,0.000839033,0.001287499,0.000891206,0.000905733,0.001008892,0.001387516,0.001345190,0.001512675,0.001260400,0.001033198,0.001945147,0.001042557,0.001106954,0.001231973,0.001186435,0.001408818,0.001499685,0.001498288
51.39,1.16,85.19,0.23,92.59,0.23,70.83,99.07,1.85,0.46,93.75,80.79,69.21,95.14,0.00,74.31,1.16,79.63,100.00,90.05,59.05,70.00,86.63,52.84,92.55,56.35,73.03,99.00,71.28,85.65,90.35,85.20,68.94,94.12,76.00,81.81,92.84,79.69,100.00,90.61,0.001738550,0.000841477,0.000741252,0.000873885,0.000518729,0.000785881,0.001057992,0.000701161,0.000919982,0.001035363,0.000922845,0.001094731,0.001012595,0.000758922,0.001236513,0.001477614,0.001157729,0.001013502,0.001052755,0.001026423
68.29,0.46,91.20,0.23,100.00,31.02,87.73,99.07,89.81,98.38,98.15,84.26,81.25,100.00,78.47,97.45,97.69,2.08,100.00,94.91,69.87,72.13,90.66,60.26,100.00,69.75,87.92,99.00,91.17,96.97,96.55,86.90,80.57,100.00,81.96,97.65,96.99,79.94,100.00,94.14,0.001365165,0.000915930,0.000821572,0.000706958,0.000414034,0.000811305,0.000874233,0.000604148,0.000778128,0.000909924,0.000636835,0.000838754,0.000838613,0.000669382,0.000548692,0.000872139,0.000644238,0.001004004,0.000991153,0.000652899
74.54,0.46,99.31,0.46,100.00,10.19,93.98,99.07,89.81,100.00,98.61,84.26,81.71,100.00,0.23,99.31,97.69,0.23,100.00,96.06,75.08,72.13,98.73,59.16,100.00,71.99,91.99,99.00,91.17,100.00,97.42,89.08,82.18,100.00,81.66,98.98,97.26,83.45,100.00,96.76,0.001283867,0.000718902,0.000553930,0.000747258,0.000505808,0.000767373,0.000681325,0.000529975,0.000691104,0.000721555,0.000579353,0.000739296,0.000669661,0.000546737,0.000411170,0.000813330,0.000545270,0.000742090,0.000616720,0.000600376
78.01,0.00,99.31,0.00,100.00,11.11,93.29,99.07,91.67,100.00,98.61,84.26,81.71,100.00,0.00,99.31,98.61,84.95,100.00,96.06,77.24,75.39,98.73,61.67,100.00,73.19,91.88,99.00,93.31,100.00,97.42,89.08,82.18,100.00,86.19,98.98,98.09,88.27,100.00,96.76,0.001114217,0.000658487,0.000505040,0.000495681,0.000526901,0.000462226,0.000611831,0.000645635,0.000868018,0.000607151,0.000478499,0.000580820,0.000599888,0.000532698,0.000600167,0.000566852,0.000347333,0.000596745,0.000694177,0.000660652
78.01,0.23,100.00,0.00,100.00,0.93,96.53,99.07,95.14,100.00,98.61,84.49,81.71,100.00,0.00,99.31,99.31,84.95,100.00,96.76,77.24,75.64,100.00,61.67,100.00,71.89,96.10,99.00,94.56,100.00,97.42,89.81,82.18,100.00,86.92,98.98,98.96,88.27,100.00,98.03,0.001161850,0.000669871,0.000482830,0.000508322,0.000367029,0.000460340,0.000619933,0.000889949,0.000664214,0.000375969,0.000586268,0.000479547,0.000563220,0.000563220,0.000683002,0.000523898,0.000322049,0.000666938,0.000603449,0.000592764
73.61,0.23,100.00,0.23,100.00,29.17,96.53,99.07,95.14,100.00,98.61,86.34,81.71,100.00,90.05,99.31,99.31,85.19,100.00,96.76,77.03,75.64,100.00,60.90,100.00,79.48,96.10,99.00,94.56,100.00,97.42,89.56,82.18,100.00,89.91,98.98,98.96,90.35,100.00,98.03,0.000972714,0.000770306,0.000450701,0.000441692,0.000332386,0.000470049,0.000553163,0.000560217,0.000533257,0.000385328,0.000424370,0.000593812,0.000595557,0.000584801,0.000621679,0.000571671,0.000332386,0.000610155,0.000584313,0.000568039
77.08,0.23,100.00,0.00,100.00,29.17,96.06,99.07,95.14,100.00,98.61,84.72,81.71,100.00,0.00,100.00,99.31,86.34,100.00,96.76,79.13,75.64,100.00,62.00,100.00,80.15,95.22,99.00,94.56,100.00,97.42,89.39,82.18,100.00,86.98,100.00,98.96,92.01,100.00,98.03,0.000946941,0.000690754,0.000427583,0.000737131,0.000478989,0.000626847,0.000653598,0.000520405,0.000559798,0.000399576,0.000596606,0.000565245,0.000598002,0.000602262,0.000478359,0.000447488,0.000377575,0.000563220,0.000684329,0.000541778
79.40,0.23,100.00,0.23,100.00,28.70,96.06,99.07,95.14,100.00,98.61,84.49,81.71,100.00,90.28,100.00,99.31,86.34,100.00,96.76,80.67,75.64,100.00,61.23,100.00,80.36,95.22,99.00,94.56,100.00,97.42,89.39,82.18,100.00,90.59,100.00,98.96,92.01,100.00,98.03,0.000909924,0.000547225,0.000566363,0.000677764,0.000506925,0.000551626,0.000611342,0.000622378,0.000580751,0.000399087,0.000529485,0.000469629,0.000582007,0.000833026,0.000509999,0.000563150,0.000373803,0.000617698,0.000581379,0.000826251
77.08,0.23,100.00,0.00,100.00,28.70,96.06,99.07,95.14,100.00,98.61,84.49,81.02,100.00,90.28,100.00,99.31,87.27,100.00,96.76,80.30,75.64,100.00,61.15,100.00,80.36,95.22,99.00,94.56,100.00,97.42,89.39,81.48,100.00,90.59,100.00,98.96,92.21,100.00,98.03,0.001152910,0.000783786,0.000514819,0.000527809,0.000368286,0.000473471,0.000659674,0.000536958,0.000675808,0.000563988,0.000524037,0.000413266,0.000612180,0.000546248,0.000465299,0.000584941,0.000429958,0.000613926,0.000680697,0.000537587
77.08,0.23,100.00,0.00,100.00,28.70,96.06,99.07,95.14,100.00,98.61,84.72,81.25,100.00,90.28,100.00,99.31,87.27,100.00,96.76,79.65,75.64,100.00,61.15,100.00,80.57,95.22,99.00,94.56,100.00,97.42,90.03,81.67,100.00,90.59,100.00,98.96,92.21,100.00,98.03,0.000918724,0.000525434,0.000527809,0.000523688,0.000375480,0.000485693,0.000571810,0.000595976,0.000615533,0.000401671,0.000417456,0.000439876,0.000644378,0.000642841,0.000911251,0.000585080,0.000380718,0.000649197,0.000591576,0.000520546
79.86,0.23,100.00,0.00,100.00,28.70,96.53,99.07,95.14,100.00,98.61,84.72,81.94,100.00,90.74,100.00,99.31,86.57,100.00,96.76,80.46,75.64,100.00,61.15,100.00,80.57,95.76,99.00,94.33,100.00,97.42,90.03,82.25,100.00,91.05,100.00,98.96,93.50,100.00,98.03,0.000843992,0.000683561,0.000524387,0.001228621,0.000330501,0.000478360,0.000568388,0.000720577,0.000762903,0.000430307,0.000413615,0.000510488,0.000555817,0.000641165,0.000468162,0.000589481,0.000355155,0.000558680,0.000525015,0.000533467
