direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
88.43,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,88.66,100.00,100.00,85.88,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.29,100.00,100.00,93.90,100.00,100.00,0.012791948,0.013350210,0.012204283,0.015167823,0.012068437,0.013191524,0.012080310,0.012026601,0.011833622,0.011790319,0.012791739,0.011736400,0.012013959,0.012188429,0.012999105,0.011782847,0.011305674,0.012047484,0.010985720,0.012093092
88.43,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,88.66,100.00,100.00,85.88,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.29,100.00,100.00,93.90,100.00,100.00,0.012990864,0.012996312,0.012493995,0.015637452,0.011956687,0.013413208,0.012370023,0.011754350,0.011187708,0.012066831,0.013306906,0.012010607,0.011780332,0.012109715,0.013336660,0.011481750,0.011248053,0.012102312,0.010856859,0.013099400
88.43,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,88.66,100.00,100.00,85.88,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.29,100.00,100.00,93.90,100.00,100.00,0.012381616,0.012368416,0.012107829,0.016009998,0.011786409,0.013390928,0.012005439,0.012139258,0.011610612,0.011799748,0.013469922,0.012024645,0.011892362,0.011385087,0.013025017,0.011028255,0.010871874,0.012398589,0.010818932,0.012529615
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.29,100.00,100.00,96.26,100.00,100.00,0.013288328,0.012614196,0.012260927,0.015735025,0.011553689,0.013376610,0.011871199,0.011814905,0.011278645,0.011929448,0.013430948,0.011944744,0.011690443,0.011200978,0.012533736,0.011385994,0.011340107,0.011983926,0.011150621,0.012292915
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.29,100.00,100.00,96.26,100.00,100.00,0.013082009,0.012664204,0.012039173,0.014831944,0.012036518,0.012703946,0.012201210,0.011364971,0.011528615,0.012096794,0.013001549,0.012007045,0.011958014,0.011120100,0.013518393,0.011283464,0.011203004,0.011632822,0.011945722,0.011625489
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.29,100.00,100.00,96.26,100.00,100.00,0.012302902,0.012426526,0.012360035,0.014280109,0.011796187,0.013113160,0.012532689,0.012217623,0.011331865,0.011388020,0.013292658,0.011668233,0.011937899,0.011397448,0.013398401,0.011654543,0.010649004,0.011982040,0.011132112,0.012130668
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012799701,0.012546657,0.012322808,0.014858065,0.011747226,0.013127827,0.011596713,0.011820911,0.011493413,0.011449342,0.013234828,0.011465965,0.012215388,0.011573315,0.012708345,0.011565912,0.011464848,0.012359755,0.011332424,0.011730603
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012186823,0.012532619,0.011962764,0.015213081,0.011989304,0.012970539,0.010911686,0.012130528,0.011506685,0.011359733,0.012096165,0.011406947,0.012182772,0.011430974,0.012671957,0.011843820,0.011762103,0.012468851,0.011158653,0.012125988
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012657639,0.012677265,0.012122566,0.014174854,0.012034074,0.013116302,0.011495788,0.011678570,0.011519606,0.011566820,0.011681782,0.011967583,0.012220068,0.011137421,0.012784754,0.012349698,0.011813927,0.011682132,0.012099378,0.011478956
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.011970167,0.012343482,0.011931753,0.014714397,0.011925048,0.012103638,0.011557810,0.012305208,0.012078914,0.011275641,0.012027090,0.011790320,0.012146662,0.010947655,0.012441891,0.011825172,0.011577646,0.011898577,0.011999432,0.011741359
