direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.03,0.00,0.00,0.00,0.02,0.03,109.327262878,109.021537781,108.707267761
0.00,0.03,0.00,55.87,34.94,38.16,7.702990532,7.521236420,7.722374439
95.33,0.39,78.21,93.96,54.79,79.99,0.857772648,2.223007441,1.487525940
100.00,61.52,86.12,100.00,77.63,91.69,0.175064996,0.698694527,0.315523446
100.00,77.15,94.27,100.00,84.68,95.98,0.125448763,0.342303514,0.167367518
100.00,76.18,97.00,100.00,87.56,97.38,0.122421466,0.251822203,0.145277590
100.00,75.06,98.21,100.00,87.03,97.96,0.125899538,0.223732129,0.138734147
100.00,75.85,98.61,100.00,88.97,98.77,0.120494835,0.217481390,0.133941054
100.00,75.85,98.61,100.00,88.97,98.77,0.119602993,0.211870641,0.128110364
100.00,75.85,99.82,100.00,88.97,99.65,0.119776003,0.213370398,0.129806876
100.00,79.85,99.64,100.00,90.19,99.50,0.124475218,0.206699625,0.129329562
100.00,79.85,99.64,100.00,90.19,99.50,0.123916820,0.200835347,0.125277236
100.00,79.85,99.64,100.00,90.19,99.50,0.119874477,0.202181235,0.130157620
100.00,79.85,99.58,100.00,90.19,99.59,0.123403400,0.198872194,0.127227411
100.00,79.85,99.58,100.00,90.19,99.59,0.119572751,0.199421927,0.127506360
100.00,79.85,99.58,100.00,90.19,99.59,0.122339815,0.203940675,0.128868103
100.00,79.85,99.58,100.00,90.19,99.59,0.122815661,0.193870962,0.124935627
100.00,79.85,99.58,100.00,90.19,99.59,0.123754852,0.192131013,0.124111399
100.00,79.85,99.58,100.00,90.19,99.59,0.118568890,0.191119611,0.125420690
100.00,79.85,99.58,100.00,90.19,99.59,0.120460115,0.188137159,0.128829196
100.00,79.85,99.58,100.00,90.19,99.59,0.122975394,0.190583691,0.127614126
100.00,79.85,99.70,100.00,90.19,99.76,0.124440432,0.190735191,0.123849548
100.00,79.85,99.70,100.00,90.19,99.76,0.122875378,0.188261122,0.124684326
100.00,79.85,99.79,100.00,90.19,99.77,0.123186879,0.187141731,0.123077430
100.00,79.85,99.79,100.00,90.19,99.77,0.123372525,0.186339378,0.124589764
100.00,79.85,99.79,100.00,90.19,99.77,0.121436112,0.185446352,0.126194626
100.00,79.85,99.79,100.00,90.19,99.77,0.126942933,0.185249180,0.123687729
100.00,79.85,99.79,100.00,90.19,99.77,0.122229949,0.179391250,0.129727527
100.00,79.85,99.79,100.00,90.19,99.77,0.122088589,0.185779229,0.128913358
100.00,79.85,99.79,100.00,90.19,99.77,0.123226479,0.184663266,0.123586737
100.00,79.85,99.79,100.00,90.19,99.77,0.119967997,0.192126393,0.123981491
