direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.23,0.23,0.00,0.69,0.46,0.23,0.46,0.23,0.00,0.23,0.23,0.23,0.00,0.00,1.16,0.23,0.23,0.46,0.00,0.00,0.35,0.23,0.12,0.00,0.41,0.27,0.12,0.00,0.27,0.64,0.23,0.25,0.46,0.23,0.37,0.37,0.00,0.48,0.12,0.37,0.085136697,0.040784892,0.047655277,0.068525486,0.068768203,0.099325314,0.069953866,0.039973378,0.041002035,0.076391995,0.085090809,0.097198859,0.041787151,0.041170008,0.042086639,0.071052298,0.039388366,0.040917665,0.077728443,0.048716974
0.23,0.69,0.93,0.46,0.23,0.23,0.23,0.00,0.00,0.00,0.93,0.23,0.00,0.23,0.00,0.00,0.00,0.46,1.85,0.23,25.85,28.63,36.84,32.70,37.08,27.66,40.88,38.16,37.73,22.49,29.40,46.82,31.29,38.25,30.86,34.16,41.11,29.67,36.40,35.53,0.002684723,0.002154818,0.002585474,0.002093565,0.002465972,0.003104204,0.001926848,0.002520171,0.001369845,0.002840544,0.002852558,0.002547271,0.002024491,0.002760643,0.001876072,0.002806600,0.001366702,0.002491325,0.001709914,0.002798847
6.02,58.56,49.77,0.46,76.16,0.00,0.23,0.46,0.00,0.00,0.00,0.00,0.46,0.93,0.46,0.00,38.19,0.46,83.80,0.00,56.27,61.40,73.05,32.70,76.31,53.95,58.93,67.69,62.94,51.56,66.17,69.14,51.81,64.81,48.32,60.73,76.22,48.98,86.82,81.25,0.001519031,0.001434310,0.001467137,0.001052266,0.001592367,0.001650617,0.001094032,0.001195445,0.001276883,0.001435777,0.001539775,0.001326402,0.001158568,0.001278838,0.001150466,0.001702231,0.000675319,0.000812981,0.000675878,0.001800362
6.02,0.00,39.35,0.00,96.99,56.48,81.94,100.00,78.01,73.38,92.13,5.56,0.46,92.82,23.84,99.31,83.80,0.00,100.00,98.84,56.27,69.64,82.58,56.46,96.57,69.12,80.48,100.00,79.34,75.54,88.27,77.10,62.04,92.75,71.14,99.13,92.09,71.16,100.00,98.15,0.001457149,0.001110376,0.001331361,0.000707307,0.001217795,0.001671290,0.000747886,0.001094521,0.000877726,0.001070424,0.001401414,0.001208156,0.001011407,0.001034106,0.001540543,0.001749585,0.000737829,0.000581938,0.000607082,0.000955532
0.00,0.00,92.59,0.46,99.54,59.95,96.06,100.00,0.93,85.65,96.06,0.00,50.00,95.37,75.93,100.00,87.27,0.00,100.00,100.00,63.60,69.64,91.20,57.25,99.07,75.85,94.17,100.00,88.41,86.71,92.71,86.28,70.89,94.23,77.06,100.00,96.24,78.67,100.00,100.00,0.001002746,0.000853700,0.001001629,0.000802644,0.001215770,0.001178193,0.000692081,0.000711778,0.000901752,0.000889949,0.000933321,0.001109817,0.001015248,0.001015179,0.000933042,0.000706330,0.000403207,0.000552464,0.000424440,0.000743487
61.34,0.00,94.44,0.46,100.00,59.95,97.45,100.00,83.56,94.68,99.31,86.34,0.69,96.30,71.06,100.00,97.69,0.00,100.00,100.00,65.97,72.80,95.56,57.25,100.00,75.85,96.08,100.00,86.03,93.06,98.90,88.93,80.59,95.85,79.42,100.00,96.93,81.66,100.00,100.00,0.000953856,0.000718413,0.000696412,0.000563988,0.000955951,0.000861383,0.000601633,0.000731683,0.000680627,0.000710590,0.000733569,0.000882545,0.000780294,0.000847484,0.000867319,0.000718413,0.000521104,0.000417456,0.000333084,0.000704932
14.58,64.12,98.84,0.46,100.00,65.28,98.84,100.00,91.67,98.61,100.00,93.06,84.72,98.15,78.47,100.00,100.00,0.00,100.00,100.00,75.64,71.10,98.17,57.25,100.00,80.63,98.01,100.00,92.75,97.72,100.00,93.19,85.03,97.20,82.74,100.00,100.00,85.96,100.00,100.00,0.000873606,0.000681954,0.000666798,0.000857541,0.001082508,0.001045351,0.000580471,0.000641375,0.000605336,0.000729308,0.000621259,0.000804600,0.000717225,0.000639070,0.000786441,0.000782948,0.000397760,0.000417735,0.000323447,0.000538635
14.58,66.44,100.00,0.46,100.00,85.65,98.84,100.00,97.45,99.07,100.00,91.20,85.65,99.54,84.95,100.00,100.00,0.00,100.00,100.00,75.64,73.13,100.00,57.25,100.00,87.65,98.01,100.00,96.88,98.28,100.00,93.46,85.65,99.15,87.58,100.00,100.00,86.92,100.00,100.00,0.000828486,0.000680766,0.000643750,0.000735874,0.000966847,0.000961539,0.000578864,0.000621120,0.000646823,0.000605336,0.000532768,0.000802224,0.000807394,0.000675598,0.000727073,0.000718552,0.000384489,0.000424999,0.000476334,0.000534304
69.91,66.67,100.00,0.00,100.00,85.65,98.84,100.00,97.45,99.07,100.00,88.43,85.42,99.54,85.65,100.00,100.00,0.00,100.00,100.00,79.98,73.40,100.00,60.47,100.00,87.65,98.01,100.00,96.88,98.28,100.00,92.53,86.11,99.15,87.38,100.00,100.00,86.92,100.00,100.00,0.000786999,0.000647032,0.000634391,0.000528019,0.000854747,0.000994016,0.000521803,0.000619793,0.000567340,0.000615742,0.000632784,0.000717714,0.000804041,0.001057923,0.000707377,0.000900844,0.000455032,0.000374712,0.000387843,0.000607571
71.53,66.67,100.00,65.97,100.00,85.65,98.84,100.00,97.45,99.07,100.00,89.58,85.42,99.54,84.72,100.00,100.00,0.46,100.00,100.00,81.17,73.67,100.00,64.08,100.00,87.65,98.01,100.00,96.88,98.28,100.00,93.27,86.11,99.15,86.79,100.00,100.00,86.81,100.00,100.00,0.000734267,0.000795101,0.000587875,0.000551416,0.000974389,0.000826531,0.000496309,0.000595627,0.000557073,0.000571811,0.000555397,0.000661211,0.000596884,0.000661769,0.000740553,0.000704374,0.000529975,0.000316741,0.000359974,0.000576140
