direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.00,0.46,0.69,0.23,0.00,0.46,0.00,0.23,0.23,0.23,0.23,0.46,0.46,0.46,0.46,0.00,0.46,0.69,0.00,0.46,0.46,0.23,0.23,0.14,0.35,0.00,0.27,0.00,0.46,0.35,0.35,0.25,0.00,0.23,0.48,0.60,0.39,0.66,0.12,0.00,0.051550258,0.044315424,0.042608097,0.043531571,0.042900812,0.044136766,0.042016380,0.044785615,0.043492947,0.044507638,0.070218578,0.044832200,0.081684411,0.045622416,0.041585445,0.042923927,0.042956404,0.044564560,0.042963810,0.044742871
0.69,0.69,0.46,0.23,1.16,0.00,1.39,0.23,0.46,0.46,0.00,1.39,0.23,0.23,0.00,0.69,0.00,0.23,0.69,0.00,29.19,39.78,40.62,29.26,42.26,34.55,47.32,51.35,49.65,37.52,39.24,48.77,37.65,53.51,34.45,42.44,41.69,40.10,57.21,47.78,0.055822250,0.034061041,0.038340364,0.043332376,0.043347184,0.037937369,0.034703813,0.037091486,0.044886608,0.037578087,0.052738160,0.036529943,0.055464718,0.041872919,0.032086629,0.042926513,0.038954712,0.044672955,0.035579514,0.038897857
0.46,68.52,80.56,0.23,92.13,1.16,68.98,97.45,31.48,68.52,78.70,79.17,68.06,94.91,65.05,89.58,75.23,0.00,100.00,93.98,40.66,67.65,86.00,47.15,92.17,57.54,69.71,96.60,68.61,68.31,80.02,81.06,64.29,93.21,66.88,87.60,84.65,64.49,100.00,92.48,0.024839362,0.018792432,0.021735298,0.024978559,0.023243712,0.022944152,0.020715371,0.019253749,0.023236100,0.023431104,0.023390245,0.019886397,0.023114292,0.019096673,0.019296844,0.022735320,0.020145794,0.022779811,0.017870914,0.019749852
70.60,81.02,99.31,62.73,100.00,40.74,98.61,100.00,99.07,94.91,100.00,92.13,79.17,100.00,77.55,100.00,100.00,87.27,100.00,100.00,70.97,77.55,98.73,59.72,100.00,72.78,98.01,100.00,98.61,92.90,100.00,95.43,80.05,100.00,84.05,100.00,100.00,88.29,100.00,100.00,0.019596472,0.015364153,0.016404128,0.018831477,0.016172037,0.018541137,0.016142633,0.014927420,0.018088687,0.017421260,0.017860088,0.016138790,0.017712507,0.014753091,0.014778374,0.016976636,0.016275544,0.017320756,0.014305532,0.014670256
75.69,83.80,100.00,63.19,100.00,82.64,100.00,100.00,98.84,100.00,100.00,96.53,84.72,100.00,94.21,100.00,100.00,86.81,100.00,100.00,77.95,81.50,100.00,61.77,100.00,79.19,100.00,100.00,98.38,100.00,100.00,97.16,84.47,100.00,92.32,100.00,100.00,92.05,100.00,100.00,0.016121259,0.013625533,0.014691558,0.016894707,0.013276384,0.015872546,0.013471597,0.012310585,0.016299918,0.014013096,0.015079470,0.014302458,0.014534619,0.013051417,0.013940179,0.013782403,0.014055980,0.014782634,0.012252126,0.013092416
82.41,83.80,100.00,63.19,100.00,87.04,100.00,100.00,100.00,100.00,100.00,97.69,84.26,100.00,95.14,100.00,100.00,88.89,100.00,100.00,82.87,81.79,100.00,61.77,100.00,88.99,100.00,100.00,100.00,100.00,100.00,96.55,83.39,100.00,93.46,100.00,100.00,93.36,100.00,100.00,0.014469385,0.013685180,0.013264092,0.016386805,0.012778888,0.014265651,0.012140656,0.012618038,0.014968558,0.012245072,0.013151923,0.013058192,0.012743477,0.012604697,0.012834902,0.012035261,0.013581462,0.013651725,0.011660760,0.012569077
82.41,84.95,100.00,65.74,100.00,91.90,100.00,100.00,100.00,100.00,100.00,97.69,86.11,100.00,96.30,100.00,100.00,92.59,100.00,100.00,82.87,82.60,100.00,63.77,100.00,92.63,100.00,100.00,100.00,100.00,100.00,96.95,85.32,100.00,95.12,100.00,100.00,95.89,100.00,100.00,0.013904909,0.012849779,0.012024227,0.016400633,0.012070183,0.013811877,0.011581138,0.012487500,0.014543838,0.012275315,0.013380731,0.012714562,0.012304788,0.012274127,0.012581440,0.012180816,0.013234618,0.013791133,0.011290099,0.012492668
87.73,84.95,100.00,66.20,100.00,91.90,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,96.53,100.00,100.00,92.59,100.00,100.00,85.13,82.60,100.00,64.72,100.00,92.63,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,95.29,100.00,100.00,95.89,100.00,100.00,0.013314170,0.012881977,0.011882094,0.016140467,0.012230754,0.013302367,0.011410299,0.012708625,0.012560277,0.011433698,0.012465149,0.012210430,0.012486382,0.011177511,0.012182283,0.011931474,0.012637593,0.013352653,0.011515205,0.012002225
88.43,84.72,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,96.53,100.00,100.00,92.59,100.00,100.00,85.73,83.01,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,95.29,100.00,100.00,95.89,100.00,100.00,0.013099400,0.012522492,0.011633520,0.016295658,0.011853948,0.013888146,0.011690932,0.012212106,0.012241650,0.011889777,0.012740264,0.012498046,0.012141424,0.011280180,0.011749391,0.011838721,0.012616641,0.013262905,0.012252755,0.012569078
90.05,84.72,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,96.53,100.00,100.00,92.59,100.00,100.00,87.62,83.01,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,95.29,100.00,100.00,95.89,100.00,100.00,0.012641924,0.012635848,0.011842563,0.016400913,0.012282090,0.012996591,0.011281787,0.012054957,0.012128782,0.012001457,0.012141004,0.012421078,0.012054748,0.011068973,0.011780192,0.011275991,0.013636499,0.012594780,0.012043433,0.012251847
90.05,84.95,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,96.53,100.00,100.00,92.59,100.00,100.00,87.62,82.48,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,95.29,100.00,100.00,95.89,100.00,100.00,0.012608539,0.012658966,0.011429925,0.015131853,0.011362107,0.012688789,0.011356799,0.012312122,0.011837534,0.011431044,0.012177393,0.012576131,0.012109156,0.011352748,0.011250917,0.011193505,0.013094512,0.012286978,0.012433581,0.012459632
89.12,84.95,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,96.53,100.00,100.00,92.59,100.00,100.00,86.69,82.48,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,95.29,100.00,100.00,95.89,100.00,100.00,0.012678033,0.012810946,0.011313496,0.014893127,0.011135394,0.013178044,0.011373981,0.012267911,0.011425805,0.010849454,0.012493995,0.012092813,0.012300877,0.011929868,0.011817698,0.011253500,0.013329885,0.012074932,0.012205890,0.012271822
88.43,84.95,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,96.53,100.00,100.00,92.59,100.00,100.00,85.57,82.48,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,95.29,100.00,100.00,95.89,100.00,100.00,0.012989047,0.012252336,0.011223537,0.015628790,0.011269006,0.012933103,0.011225354,0.012006486,0.011468479,0.011480143,0.012626069,0.012201490,0.012646743,0.012022759,0.011672214,0.011277177,0.013287280,0.012239834,0.012034493,0.012076679
88.43,84.95,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,96.53,100.00,100.00,92.59,100.00,100.00,85.57,82.48,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,95.29,100.00,100.00,95.89,100.00,100.00,0.012338383,0.012406690,0.010995428,0.015044688,0.010844985,0.012793904,0.011120588,0.013349232,0.011652518,0.020434948,0.012265327,0.011992028,0.012186194,0.012057612,0.011539092,0.011241417,0.013650677,0.011798211,0.011915340,0.011863725
88.43,85.19,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,96.53,100.00,100.00,92.59,100.00,100.00,85.57,82.89,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,95.29,100.00,100.00,95.89,100.00,100.00,0.012468433,0.013002248,0.011053748,0.015068085,0.010717450,0.012836648,0.011257063,0.013392675,0.011180933,0.011449413,0.012204632,0.012149107,0.011729137,0.011545936,0.012048741,0.011507731,0.012202537,0.011265794,0.012185426,0.012063269
88.43,85.19,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,97.45,100.00,100.00,92.59,100.00,100.00,85.57,82.89,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,96.45,100.00,100.00,95.89,100.00,100.00,0.012611961,0.013028649,0.011609704,0.014611377,0.011158862,0.012608469,0.011674518,0.011525332,0.011092371,0.011801145,0.012367020,0.011829851,0.012055446,0.011818815,0.011833762,0.011229056,0.012377356,0.011233456,0.012125220,0.011694634
88.43,85.19,100.00,66.44,100.00,88.66,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,97.45,100.00,100.00,92.59,100.00,100.00,85.57,82.89,100.00,64.97,100.00,91.36,100.00,100.00,100.00,100.00,100.00,100.00,85.32,100.00,96.45,100.00,100.00,95.89,100.00,100.00,0.012101334,0.012463334,0.011206217,0.014544398,0.011043690,0.012671957,0.011516183,0.011249310,0.011407087,0.011535879,0.012165031,0.012268469,0.011914222,0.011898926,0.011810644,0.011200350,0.012503075,0.011750998,0.012045110,0.011600554
