direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.00,0.04,0.00,0.11,0.08,0.02,6.076266766,6.063652515,6.028713703
0.00,0.08,0.08,47.07,37.10,29.18,0.628508329,0.651666820,0.695424497
86.82,48.43,0.00,89.07,59.26,55.12,0.116745137,0.207415670,0.247766852
95.17,71.02,91.95,97.73,76.89,90.67,0.028756265,0.079192989,0.073036112
99.62,69.53,99.24,99.42,77.57,98.71,0.018359784,0.053830724,0.026557423
100.00,73.22,99.92,100.00,80.83,99.83,0.017052753,0.046136033,0.018943047
100.00,73.22,100.00,100.00,80.83,100.00,0.016688453,0.042769127,0.017284287
100.00,73.22,100.00,100.00,80.83,100.00,0.016271632,0.039816048,0.016567566
100.00,73.22,100.00,100.00,80.83,100.00,0.017213527,0.037366599,0.016988857
100.00,73.22,100.00,100.00,80.83,100.00,0.018405393,0.037488542,0.017427117
100.00,77.50,100.00,100.00,83.10,100.00,0.017067209,0.036595535,0.016851613
100.00,73.77,100.00,100.00,81.99,100.00,0.017248867,0.036296193,0.017746648
100.00,73.77,100.00,100.00,81.99,100.00,0.016300337,0.036202814,0.016777022
100.00,73.77,100.00,100.00,81.99,100.00,0.015705351,0.035200711,0.016873056
100.00,75.47,100.00,100.00,83.01,100.00,0.016202278,0.034946207,0.016516998
100.00,76.27,100.00,100.00,83.26,100.00,0.016841969,0.034349680,0.016822768
100.00,76.27,100.00,100.00,83.26,100.00,0.017068677,0.035218801,0.016860904
100.00,76.27,100.00,100.00,83.26,100.00,0.017677074,0.032510448,0.016913844
100.00,75.59,100.00,100.00,82.98,100.00,0.016657652,0.033518903,0.016414469
100.00,75.59,100.00,100.00,82.98,100.00,0.016751871,0.033923432,0.016746152
100.00,75.59,100.00,100.00,82.98,100.00,0.016157510,0.033635192,0.017101580
100.00,75.59,100.00,100.00,82.98,100.00,0.016025787,0.034722712,0.016784985
100.00,75.59,100.00,100.00,82.98,100.00,0.016329741,0.033250429,0.017140064
100.00,75.59,100.00,100.00,82.98,100.00,0.016450569,0.032544740,0.016239304
100.00,76.36,100.00,100.00,83.82,100.00,0.016126569,0.031282127,0.016180497
100.00,76.36,100.00,100.00,83.82,100.00,0.016406149,0.031701043,0.017157525
100.00,76.36,100.00,100.00,83.82,100.00,0.016202977,0.032225139,0.017032856
100.00,76.36,100.00,100.00,83.82,100.00,0.017151300,0.031279262,0.017136920
100.00,76.36,100.00,100.00,83.82,100.00,0.016639913,0.031955268,0.017350012
100.00,76.36,100.00,100.00,83.82,100.00,0.015851321,0.033524282,0.016605278
100.00,75.97,100.00,100.00,83.67,100.00,0.016947849,0.030135171,0.017539982
100.00,75.97,100.00,100.00,83.67,100.00,0.017285395,0.030146277,0.017394710
100.00,75.97,100.00,100.00,83.67,100.00,0.017290704,0.030607378,0.016724501
100.00,75.97,100.00,100.00,83.67,100.00,0.016857332,0.030445904,0.017226668
100.00,75.97,100.00,100.00,83.67,100.00,0.016836660,0.029663457,0.016930675
100.00,75.97,100.00,100.00,83.67,100.00,0.017089628,0.031233098,0.017241336
100.00,75.97,100.00,100.00,83.67,100.00,0.017929276,0.030302027,0.016588656
100.00,75.97,100.00,100.00,83.67,100.00,0.016993944,0.030422365,0.017784709
100.00,76.57,100.00,100.00,84.08,100.00,0.016620288,0.029924737,0.016942481
100.00,76.57,100.00,100.00,84.08,100.00,0.016363615,0.031288344,0.017323332
100.00,76.57,100.00,100.00,84.08,100.00,0.016680980,0.030367400,0.017470699
100.00,76.57,100.00,100.00,84.08,100.00,0.016631113,0.030316833,0.017561076
100.00,76.57,100.00,100.00,84.08,100.00,0.017382547,0.030577067,0.016466642
100.00,76.57,100.00,100.00,84.08,100.00,0.017677214,0.031463020,0.016665483
100.00,76.57,100.00,100.00,84.08,100.00,0.016614281,0.031717177,0.017049896
100.00,76.57,100.00,100.00,84.08,100.00,0.017395820,0.030481031,0.016966436
100.00,76.57,100.00,100.00,84.08,100.00,0.017391069,0.030886468,0.016412025
100.00,76.57,100.00,100.00,84.08,100.00,0.016759554,0.031711102,0.016647672
100.00,76.57,100.00,100.00,84.08,100.00,0.016223373,0.030099625,0.016785124
100.00,76.57,100.00,100.00,84.08,100.00,0.016752290,0.030173099,0.017870476
100.00,76.57,100.00,100.00,84.08,100.00,0.016769402,0.031269904,0.017456589
100.00,76.57,100.00,100.00,84.08,100.00,0.016727984,0.031048644,0.016771924
100.00,76.57,100.00,100.00,84.08,100.00,0.016527886,0.030204736,0.016472649
100.00,76.57,100.00,100.00,84.08,100.00,0.016990244,0.030335972,0.017473144
100.00,76.57,100.00,100.00,84.08,100.00,0.017815083,0.030409446,0.017367192
100.00,76.57,100.00,100.00,84.08,100.00,0.017248033,0.029885417,0.016691605
100.00,76.57,100.00,100.00,84.08,100.00,0.017954700,0.030144112,0.016571056
100.00,76.57,100.00,100.00,84.08,100.00,0.017398613,0.030176099,0.016219540
100.00,76.57,100.00,100.00,84.08,100.00,0.017400358,0.030599903,0.016863419
100.00,76.57,100.00,100.00,84.08,100.00,0.017011896,0.031160044,0.017763199
100.00,76.57,100.00,100.00,84.08,100.00,0.017302508,0.031175269,0.016219471
100.00,76.57,100.00,100.00,84.08,100.00,0.016097447,0.031625263,0.016189087
100.00,76.57,100.00,100.00,84.08,100.00,0.016358517,0.029810544,0.016599692
100.00,76.57,100.00,100.00,84.08,100.00,0.016514406,0.031089572,0.016895823
100.00,76.57,100.00,100.00,84.08,100.00,0.016698232,0.031863287,0.016748596
100.00,76.57,100.00,100.00,84.08,100.00,0.017216602,0.029736305,0.017129518
100.00,76.57,100.00,100.00,84.08,100.00,0.017001836,0.030210324,0.017224155
100.00,76.57,100.00,100.00,84.08,100.00,0.017011404,0.029813411,0.017643837
100.00,76.57,100.00,100.00,84.08,100.00,0.017074753,0.029725408,0.017327312
100.00,76.57,100.00,100.00,84.08,100.00,0.016895328,0.028784908,0.016978169
100.00,76.57,100.00,100.00,84.08,100.00,0.016494082,0.030072385,0.016511831
100.00,76.57,100.00,100.00,84.08,100.00,0.016601499,0.031159556,0.016496185
100.00,76.57,100.00,100.00,84.08,100.00,0.016512031,0.032586716,0.016170789
100.00,76.57,100.00,100.00,84.08,100.00,0.016596610,0.031506810,0.016156960
100.00,80.81,100.00,100.00,85.20,100.00,0.016218275,0.030592572,0.016830241
100.00,80.81,100.00,100.00,85.20,100.00,0.016013566,0.031524133,0.016887724
100.00,80.81,100.00,100.00,85.20,100.00,0.016433109,0.030662697,0.016716748
100.00,80.81,100.00,100.00,85.20,100.00,0.017225822,0.029825212,0.016697682
100.00,80.81,100.00,100.00,85.20,100.00,0.017124901,0.029994301,0.016478585
100.00,80.81,100.00,100.00,85.20,100.00,0.019003455,0.030072944,0.016511692
100.00,80.81,100.00,100.00,85.20,100.00,0.016961120,0.029931862,0.017479010
100.00,80.81,100.00,100.00,85.20,100.00,0.017747056,0.029178193,0.016683502
100.00,80.81,100.00,100.00,85.20,100.00,0.017534876,0.030150469,0.016514344
100.00,80.81,100.00,100.00,85.20,100.00,0.017709551,0.029780304,0.017080348
