direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.46,0.23,0.23,0.46,0.23,0.46,0.46,0.00,0.23,0.00,0.00,0.23,0.23,0.00,0.46,0.23,0.46,0.00,0.93,0.69,0.27,0.14,0.69,0.12,0.37,0.27,0.12,0.50,0.48,0.54,0.46,0.12,0.23,0.00,0.14,0.12,0.75,0.12,0.12,0.14,0.075614147,0.040759753,0.041512944,0.040528916,0.039730884,0.040476393,0.039029509,0.040678591,0.040329512,0.040849987,0.040745784,0.041541021,0.041098423,0.041449875,0.040771767,0.040290676,0.041359287,0.039687019,0.041129153,0.040518928
0.46,0.00,0.23,24.07,0.46,0.23,0.69,0.00,0.23,0.23,0.00,0.46,0.00,0.00,3.24,0.23,4.86,0.69,2.55,0.69,23.30,30.25,42.34,30.05,36.19,29.55,36.23,56.81,38.62,36.17,34.61,55.03,32.79,42.52,33.99,40.14,50.56,35.82,50.17,46.62,0.015767500,0.011624511,0.010832203,0.010734212,0.010517976,0.011357358,0.011226681,0.011993354,0.011023086,0.012416258,0.013192432,0.011375867,0.012120192,0.012566912,0.012119702,0.011449063,0.011826987,0.012466686,0.010989421,0.012439796
15.28,53.24,65.28,58.56,91.44,0.69,5.09,91.67,0.00,0.00,0.23,75.93,0.00,88.43,0.00,0.93,57.64,0.00,97.45,88.43,54.07,66.34,78.20,55.21,88.73,50.56,61.65,90.95,76.49,61.98,71.72,79.24,56.46,91.07,66.61,76.18,65.26,69.71,95.72,87.65,0.009425900,0.007059873,0.005606425,0.005745414,0.005777124,0.006811230,0.006656107,0.005014989,0.005840891,0.007192995,0.007181611,0.005736615,0.006840355,0.005703439,0.006738244,0.006564333,0.005411632,0.006974525,0.005707000,0.005896138
52.55,77.31,99.54,61.34,100.00,77.78,92.59,100.00,96.53,99.54,99.07,92.59,81.94,100.00,0.00,100.00,98.61,81.94,100.00,100.00,61.81,75.23,99.07,57.70,100.00,80.50,89.93,100.00,95.56,99.05,98.15,93.92,79.61,100.00,81.15,100.00,98.11,87.46,100.00,100.00,0.007182659,0.004581330,0.004677853,0.004551785,0.004143898,0.004524127,0.005007586,0.003766253,0.004606403,0.004832278,0.004825363,0.004126786,0.004589850,0.004261445,0.004453236,0.004071610,0.003667355,0.004556535,0.003630058,0.004361741
77.78,82.18,100.00,65.97,100.00,77.78,98.61,100.00,100.00,100.00,100.00,92.13,88.89,100.00,92.36,100.00,100.00,88.66,100.00,100.00,78.41,79.40,100.00,64.22,100.00,79.86,97.94,100.00,100.00,100.00,100.00,94.12,86.65,100.00,90.86,100.00,100.00,91.65,100.00,100.00,0.005394590,0.003623702,0.003651919,0.004061622,0.002953971,0.003772050,0.003515863,0.002874279,0.003674409,0.003675177,0.003730703,0.004093820,0.003717363,0.003355781,0.003926404,0.003272667,0.003280909,0.003641443,0.002908013,0.003010195
77.78,84.03,100.00,65.97,100.00,63.66,100.00,100.00,100.00,100.00,100.00,98.15,86.57,100.00,95.37,100.00,100.00,88.89,100.00,100.00,78.41,82.04,100.00,64.22,100.00,81.75,100.00,100.00,100.00,100.00,100.00,98.15,85.61,100.00,93.50,100.00,100.00,94.04,100.00,100.00,0.004513232,0.003196258,0.003121875,0.003583611,0.003020252,0.003940583,0.003454680,0.003015992,0.002989241,0.003085487,0.003094077,0.003182918,0.003937370,0.002918979,0.003909712,0.003608057,0.003086045,0.003221472,0.003035129,0.002717689
83.33,84.26,100.00,65.97,100.00,86.11,100.00,100.00,100.00,100.00,100.00,96.30,86.57,100.00,95.37,100.00,100.00,88.89,100.00,100.00,82.75,82.39,100.00,64.22,100.00,87.73,100.00,100.00,100.00,100.00,100.00,97.22,85.61,100.00,93.50,100.00,100.00,94.04,100.00,100.00,0.004104716,0.003674060,0.002940560,0.004248244,0.003007610,0.003562449,0.003266312,0.002875676,0.003026608,0.002971991,0.003050704,0.003052590,0.003755078,0.002814772,0.003439105,0.002859961,0.003103296,0.002957253,0.002954389,0.002642048
83.80,84.49,100.00,65.97,100.00,86.11,100.00,100.00,100.00,100.00,100.00,99.54,89.58,100.00,96.30,100.00,100.00,88.89,100.00,100.00,83.62,82.60,100.00,64.22,100.00,87.73,100.00,100.00,100.00,100.00,100.00,99.19,87.48,100.00,94.48,100.00,100.00,94.04,100.00,100.00,0.003780012,0.002985470,0.003048260,0.003609104,0.002809254,0.003456286,0.002914159,0.003170486,0.002821826,0.003223987,0.003008309,0.002903753,0.003396431,0.002881891,0.003113214,0.003215256,0.002905150,0.002852837,0.003158473,0.003032754
84.72,84.49,100.00,66.44,100.00,87.50,100.00,100.00,100.00,100.00,100.00,100.00,89.58,100.00,96.30,100.00,100.00,88.89,100.00,100.00,83.99,82.60,100.00,64.99,100.00,89.27,100.00,100.00,100.00,100.00,100.00,100.00,87.48,100.00,94.60,100.00,100.00,94.04,100.00,100.00,0.003880448,0.003135215,0.003167622,0.003982908,0.002863384,0.003328752,0.002968568,0.003130955,0.002755684,0.002916673,0.002946986,0.002971082,0.003042742,0.002859960,0.003139126,0.002923658,0.002914229,0.002738363,0.003059993,0.003150511
90.05,84.49,100.00,66.44,100.00,87.96,100.00,100.00,100.00,100.00,100.00,100.00,89.58,100.00,96.76,100.00,100.00,88.89,100.00,100.00,87.67,82.60,100.00,64.99,100.00,90.10,100.00,100.00,100.00,100.00,100.00,100.00,87.48,100.00,95.52,100.00,100.00,94.04,100.00,100.00,0.004247546,0.003245080,0.003462642,0.003676434,0.002663211,0.003375338,0.002832651,0.003074172,0.002797870,0.003009497,0.002761341,0.003229224,0.003160918,0.002815191,0.002804505,0.002992175,0.003069701,0.002866945,0.003083601,0.002666355
90.05,84.49,100.00,66.44,100.00,87.96,100.00,100.00,100.00,100.00,100.00,100.00,89.58,100.00,96.76,100.00,100.00,88.89,100.00,100.00,87.67,82.60,100.00,64.99,100.00,90.10,100.00,100.00,100.00,100.00,100.00,100.00,87.67,100.00,95.52,100.00,100.00,94.04,100.00,100.00,0.003597999,0.003384348,0.002939862,0.003930456,0.003009496,0.003645354,0.002979673,0.002980302,0.002638067,0.003825131,0.002894394,0.003403275,0.003128860,0.003027935,0.003253949,0.003277626,0.003212043,0.002724325,0.002788232,0.003082832
90.05,84.49,100.00,66.44,100.00,88.19,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.76,100.00,100.00,88.89,100.00,100.00,87.67,82.60,100.00,64.99,100.00,90.26,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.52,100.00,100.00,94.04,100.00,100.00,0.003529483,0.003020881,0.003151698,0.004160940,0.003283702,0.003623283,0.002992873,0.003101410,0.002694222,0.003700041,0.002822315,0.002941958,0.003610432,0.002890343,0.002883288,0.002802480,0.002723137,0.002928687,0.003256045,0.002684793
89.35,84.49,100.00,66.44,100.00,88.19,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,87.02,82.60,100.00,64.99,100.00,90.26,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003371287,0.003037922,0.002793889,0.003920678,0.003016481,0.003083252,0.003040437,0.003277487,0.002713429,0.002987705,0.002915487,0.002992315,0.003161965,0.003124738,0.003252971,0.003251644,0.002820569,0.002872812,0.003094216,0.002648264
89.58,84.49,100.00,66.44,100.00,88.19,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,87.04,82.60,100.00,64.99,100.00,90.26,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003361159,0.003036316,0.003087721,0.003808229,0.003215256,0.003322117,0.003392799,0.003088699,0.002768116,0.003252902,0.003007471,0.003088350,0.003399504,0.002757919,0.003397478,0.002614041,0.003030170,0.003116008,0.002731518,0.002842360
89.58,84.49,100.00,66.44,100.00,90.05,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,87.04,82.60,100.00,64.99,100.00,91.01,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003341045,0.003388538,0.003040507,0.003963142,0.002726001,0.003239002,0.002784111,0.003130046,0.002840964,0.003550017,0.002755126,0.003021020,0.003114192,0.002954040,0.003203453,0.003071587,0.003036386,0.002687517,0.002586313,0.002607406
90.05,84.49,100.00,66.44,100.00,90.05,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,86.92,82.60,100.00,64.99,100.00,91.01,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003582564,0.003027585,0.003275531,0.003934576,0.002798778,0.002957672,0.002866526,0.003151209,0.002880914,0.003279652,0.002754567,0.002793121,0.003039530,0.002810652,0.002924217,0.002834189,0.002829929,0.002696178,0.002849414,0.002683256
90.05,84.49,100.00,66.44,100.00,90.05,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,86.92,82.60,100.00,64.99,100.00,91.01,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003283982,0.002975832,0.002718178,0.003991639,0.002949571,0.003169019,0.003205617,0.002666354,0.002654760,0.003849996,0.002612016,0.002997204,0.003156308,0.003005305,0.003088420,0.002640582,0.002827623,0.003062438,0.003130465,0.003092261
90.28,84.49,100.00,66.44,100.00,90.05,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,86.88,82.60,100.00,64.99,100.00,91.01,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003527248,0.002929246,0.003067816,0.003756335,0.002984073,0.002809743,0.002993153,0.003396430,0.003005515,0.002892439,0.002862405,0.002709378,0.003103297,0.003283283,0.002881892,0.002759945,0.002609152,0.002822804,0.003246825,0.002706235
90.28,84.49,100.00,66.44,100.00,90.05,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,86.88,82.60,100.00,64.99,100.00,91.01,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003351940,0.003032126,0.002719644,0.003947707,0.002919956,0.003139475,0.002901588,0.002671942,0.003327774,0.003302211,0.002735429,0.002610758,0.003419060,0.002918071,0.002815540,0.002748211,0.002625705,0.003069911,0.002726629,0.002970873
90.28,84.49,100.00,66.44,100.00,90.05,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,86.88,82.60,100.00,64.99,100.00,91.01,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003619721,0.002951595,0.003029262,0.003967473,0.003032336,0.003076266,0.003079480,0.002627660,0.002688914,0.003456286,0.002853186,0.003328892,0.002924916,0.002890343,0.003031357,0.002703720,0.002529111,0.003047421,0.003086185,0.002763646
90.28,84.49,100.00,66.44,100.00,89.81,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,86.88,82.60,100.00,64.99,100.00,92.05,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003573345,0.003059085,0.002682069,0.004009309,0.002844735,0.003495679,0.002709518,0.002684095,0.003053568,0.002828951,0.003156308,0.002741925,0.003185014,0.002930643,0.002806671,0.002592738,0.002925264,0.002728585,0.002619699,0.002826855
90.28,84.49,100.00,66.44,100.00,89.81,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,86.88,82.60,100.00,64.99,100.00,92.05,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003194373,0.003197167,0.003384208,0.003774704,0.002747443,0.002883777,0.002673478,0.002665655,0.002717689,0.002918071,0.002703511,0.003082343,0.002939512,0.002778453,0.002715384,0.002797521,0.003172931,0.003322675,0.002819242,0.002732286
90.28,84.49,100.00,66.67,100.00,89.81,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,86.88,82.60,100.00,65.10,100.00,92.05,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003088560,0.003510834,0.002984911,0.003998274,0.002837401,0.002775869,0.003480592,0.002948173,0.003090795,0.002717619,0.002787952,0.002696736,0.002966403,0.002650080,0.003152397,0.002680742,0.002890343,0.003009007,0.003111608,0.002632200
88.66,84.49,100.00,66.67,100.00,89.81,100.00,100.00,100.00,100.00,100.00,100.00,90.05,100.00,96.99,100.00,100.00,88.89,100.00,100.00,85.94,82.60,100.00,65.10,100.00,92.05,100.00,100.00,100.00,100.00,100.00,100.00,87.96,100.00,95.74,100.00,100.00,94.04,100.00,100.00,0.003245987,0.003335946,0.002926173,0.003946590,0.002977718,0.002827274,0.002742693,0.002800873,0.002680043,0.003346562,0.002766929,0.002939164,0.002946008,0.003215885,0.002723836,0.002782504,0.002612225,0.002759735,0.002759595,0.002899981
