direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.37,0.19,0.00,0.00,0.19,0.19,0.37,0.37,0.19,0.37,0.56,0.00,0.00,0.00,0.19,0.56,0.00,0.19,0.00,0.00,0.19,0.09,0.09,0.20,0.19,0.28,0.22,0.00,0.00,0.31,0.09,0.22,0.28,0.09,0.00,0.57,0.22,0.09,0.09,0.46,0.077704981,0.056987241,0.057107717,0.056619160,0.055154193,0.059020042,0.076222338,0.057654597,0.056002509,0.055812541,0.060822845,0.057405043,0.060429066,0.055388372,0.057158496,0.059571106,0.061381597,0.059308283,0.059007119,0.058156073
0.00,0.19,12.41,0.19,0.56,0.37,0.37,0.56,0.00,5.00,0.56,0.37,0.00,0.56,0.00,0.19,8.70,0.93,0.00,0.00,42.31,38.02,33.70,35.97,31.42,33.58,50.97,36.82,30.96,44.57,44.95,33.50,45.22,49.51,64.18,52.67,28.38,37.38,40.73,30.03,0.072297059,0.067212991,0.060372636,0.051075246,0.057865314,0.056886666,0.050816614,0.053639419,0.053063489,0.062584862,0.060790300,0.057666048,0.058378316,0.064080916,0.058859609,0.063086413,0.060885143,0.055743810,0.055056829,0.063075237
83.70,79.44,14.07,55.74,55.37,0.00,99.63,5.19,0.93,91.30,96.85,36.85,94.63,96.11,100.00,92.59,0.19,1.48,0.19,0.00,80.28,77.07,45.88,64.32,60.40,56.76,99.24,49.72,46.08,88.58,95.56,55.65,91.42,93.60,100.00,91.33,44.31,61.98,70.83,64.31,0.032813560,0.030140290,0.036476094,0.027042512,0.030810930,0.030909481,0.022451684,0.034315482,0.031494420,0.025494356,0.027148183,0.031907264,0.026305590,0.025688171,0.023397926,0.025005100,0.036660131,0.029826691,0.026576163,0.033469740
99.63,90.56,39.81,90.56,78.15,76.30,100.00,48.70,44.63,100.00,100.00,86.67,100.00,100.00,100.00,100.00,60.37,80.00,95.37,76.30,99.23,89.58,54.09,90.25,85.90,75.59,100.00,61.30,56.28,100.00,100.00,85.23,100.00,100.00,100.00,100.00,64.01,84.71,94.77,77.27,0.021690318,0.021078557,0.023362167,0.019374719,0.022002170,0.022057556,0.016231403,0.025214283,0.024522131,0.017441584,0.019294957,0.022069149,0.018666852,0.017312860,0.017347991,0.017935099,0.023627780,0.021037348,0.019248720,0.023890952
100.00,93.15,43.52,96.85,90.74,93.52,100.00,49.44,44.63,100.00,100.00,94.44,100.00,100.00,100.00,100.00,63.52,80.74,99.26,91.85,100.00,92.90,65.03,96.36,92.19,93.52,100.00,64.26,56.28,100.00,100.00,92.56,100.00,100.00,100.00,100.00,76.50,87.10,99.20,92.04,0.017507307,0.017677726,0.020514080,0.016352510,0.018689901,0.018202253,0.013557156,0.021804720,0.022012088,0.014222626,0.015878621,0.018270979,0.015582274,0.013883256,0.014908981,0.014697843,0.020067498,0.016612260,0.016066710,0.019516081
100.00,92.96,47.78,96.85,91.30,99.07,100.00,49.44,60.74,100.00,100.00,97.41,100.00,100.00,100.00,100.00,84.81,85.00,99.26,98.52,100.00,91.64,62.25,96.36,92.95,98.43,100.00,64.26,66.14,100.00,100.00,95.93,100.00,100.00,100.00,100.00,86.76,89.94,99.20,97.79,0.015631026,0.015915358,0.018941479,0.014329208,0.017096763,0.016100515,0.013122518,0.020055275,0.021714762,0.013260319,0.014173526,0.015896641,0.014509614,0.013457070,0.014433904,0.014030835,0.018832659,0.015335236,0.014267326,0.017569048
100.00,92.22,46.85,97.22,91.85,100.00,100.00,49.44,62.22,100.00,100.00,98.15,100.00,100.00,100.00,100.00,80.56,84.81,99.26,99.63,100.00,91.65,69.46,96.87,92.47,100.00,100.00,64.26,63.35,100.00,100.00,96.81,100.00,100.00,100.00,100.00,84.58,89.41,99.20,99.27,0.015615589,0.015411647,0.017927416,0.013573219,0.015030230,0.014773134,0.012972074,0.019589908,0.020416368,0.012964950,0.013972376,0.015575360,0.014065129,0.013049880,0.014667670,0.013572032,0.016907629,0.014589585,0.013774648,0.016106591
100.00,92.96,44.63,97.22,91.85,100.00,100.00,51.48,66.11,100.00,100.00,98.70,100.00,100.00,100.00,100.00,83.15,84.81,99.26,99.63,100.00,91.51,69.18,96.87,92.82,100.00,100.00,67.04,70.86,100.00,100.00,97.45,100.00,100.00,100.00,100.00,89.09,89.41,99.20,99.27,0.014047179,0.015136881,0.017711740,0.013310327,0.014564511,0.013827171,0.013477394,0.018924436,0.019855732,0.013076491,0.013494366,0.014220042,0.013557016,0.013186495,0.014986368,0.014008485,0.016605414,0.014488801,0.013844213,0.015040217
100.00,94.07,47.04,97.22,91.85,100.00,100.00,51.48,66.11,100.00,100.00,99.26,100.00,100.00,100.00,100.00,81.85,84.81,99.26,99.63,100.00,93.27,69.52,96.87,92.82,100.00,100.00,67.04,70.86,100.00,100.00,98.70,100.00,100.00,100.00,100.00,88.97,89.41,99.20,99.26,0.014150757,0.015202604,0.017700704,0.013331351,0.014430272,0.013366272,0.013285882,0.018731387,0.019945970,0.012972703,0.013483679,0.013986066,0.013790503,0.012888471,0.014466311,0.013890100,0.016347971,0.014095790,0.013878436,0.014699589
100.00,94.07,47.04,97.22,91.85,100.00,100.00,51.48,66.11,100.00,100.00,99.63,100.00,100.00,100.00,100.00,81.85,84.81,99.26,99.63,100.00,93.27,69.52,96.87,92.82,100.00,100.00,67.04,70.86,100.00,100.00,99.34,100.00,100.00,100.00,100.00,88.97,89.41,99.20,99.26,0.013815787,0.015130735,0.017502068,0.013718006,0.014219205,0.013557086,0.013263462,0.018826723,0.019609464,0.013404477,0.014006948,0.013642155,0.013969163,0.012874782,0.014399541,0.013694398,0.016125867,0.014234918,0.013936197,0.014112273
100.00,94.07,47.04,97.22,91.85,100.00,100.00,51.48,66.11,100.00,100.00,99.63,100.00,100.00,100.00,100.00,81.85,84.81,99.26,99.63,100.00,93.27,69.52,96.87,92.82,100.00,100.00,67.04,70.86,100.00,100.00,99.34,100.00,100.00,100.00,100.00,88.97,89.41,99.20,99.26,0.013697192,0.015016261,0.017284997,0.013646626,0.014304344,0.013871173,0.012878135,0.017299032,0.019694392,0.014169475,0.013956243,0.013993189,0.013684061,0.013018660,0.013475788,0.013408388,0.015992954,0.013929422,0.013558203,0.014278082
100.00,94.07,47.04,97.22,91.85,100.00,100.00,51.48,66.11,100.00,100.00,99.63,100.00,100.00,100.00,100.00,81.85,84.81,99.26,99.63,100.00,93.27,69.52,96.87,92.82,100.00,100.00,67.04,70.86,100.00,100.00,99.34,100.00,100.00,100.00,100.00,88.97,89.41,99.20,99.26,0.013322760,0.015125636,0.016534174,0.013779538,0.014288070,0.013395398,0.013121121,0.017371671,0.019830380,0.013701941,0.013113787,0.013599271,0.013521325,0.012686972,0.012812202,0.013843444,0.015416745,0.014449898,0.014001291,0.013518252
100.00,94.07,47.04,97.22,91.85,100.00,100.00,51.48,65.19,100.00,100.00,99.63,100.00,100.00,100.00,100.00,81.85,84.81,99.26,99.63,100.00,93.27,69.52,96.87,92.82,100.00,100.00,67.04,69.15,100.00,100.00,99.34,100.00,100.00,100.00,100.00,88.97,89.41,99.20,99.26,0.013111553,0.014616476,0.016948069,0.013541441,0.014673957,0.013151015,0.012803123,0.017527005,0.018356748,0.013937315,0.012600226,0.013042197,0.013674073,0.012811993,0.013022641,0.013777512,0.014730670,0.013503306,0.013462726,0.014099840
100.00,94.07,47.04,97.22,91.85,100.00,100.00,51.48,65.19,100.00,100.00,99.63,100.00,100.00,100.00,100.00,81.85,84.81,99.26,99.63,100.00,93.27,69.52,96.87,92.82,100.00,100.00,67.04,69.15,100.00,100.00,99.34,100.00,100.00,100.00,100.00,88.97,89.41,99.20,99.26,0.012859766,0.014970513,0.017482862,0.013884932,0.014827543,0.012932404,0.012619923,0.017556826,0.017872868,0.013890798,0.013408458,0.013209124,0.014326693,0.012910123,0.012874223,0.013593823,0.014662641,0.014331862,0.013570984,0.013892684
100.00,94.07,47.04,97.22,91.85,100.00,100.00,51.48,65.19,100.00,100.00,99.63,100.00,100.00,100.00,100.00,81.85,84.81,99.26,99.63,100.00,93.27,69.52,96.87,92.82,100.00,100.00,67.04,69.15,100.00,100.00,99.34,100.00,100.00,100.00,100.00,88.97,89.41,99.20,99.26,0.013387575,0.015294518,0.017214732,0.013367181,0.014700288,0.013066224,0.012946931,0.016737280,0.018034136,0.013890379,0.012681874,0.013361174,0.014758747,0.012933800,0.013162887,0.013501350,0.014700846,0.013804262,0.013741263,0.013897433
100.00,94.26,47.04,97.22,91.85,100.00,100.00,51.48,65.19,100.00,100.00,99.63,100.00,100.00,100.00,100.00,81.85,84.81,99.26,99.63,100.00,94.03,69.52,96.87,92.82,100.00,100.00,67.04,69.15,100.00,100.00,99.34,100.00,100.00,100.00,100.00,88.97,89.41,99.20,99.26,0.013291051,0.015237316,0.017165212,0.013162818,0.014019032,0.013191942,0.013267862,0.017045708,0.017949697,0.013708228,0.013513294,0.013533758,0.014403591,0.013128943,0.013267863,0.013756908,0.014495925,0.014245325,0.013689020,0.013989417
