direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.37,0.50,0.12,0.12,0.25,0.12,0.00,0.25,0.37,0.12,0.25,0.00,0.37,0.12,0.12,0.12,0.12,0.00,0.00,0.37,0.21,0.00,0.08,0.00,0.19,0.12,0.06,0.06,0.13,0.06,0.07,0.19,0.14,0.33,0.27,0.00,0.12,0.25,0.06,0.06,6.408680916,6.229715824,6.137169838,6.126634121,6.342252731,6.029035568,6.403773308,6.061279297,6.075112343,6.072211266,6.216227531,6.031907082,6.098919392,6.046508789,6.014317036,6.016981602,6.385292053,6.119261742,6.112955570,6.115163803
0.25,0.12,0.12,0.25,0.00,0.00,0.50,1.24,0.00,0.12,0.12,0.00,0.37,0.00,0.25,0.62,0.00,0.00,0.00,0.87,31.08,47.34,28.16,33.46,40.73,35.18,59.57,49.47,39.52,57.03,41.81,28.25,46.76,69.91,58.29,31.18,42.91,27.13,67.16,54.64,0.275199801,0.297020793,0.282763928,0.293794185,0.287988454,0.306218982,0.283377528,0.293671161,0.278569490,0.295936942,0.298575073,0.294863105,0.300667316,0.284088820,0.287888706,0.283857644,0.309173942,0.297481835,0.302888215,0.274367005
57.14,0.37,0.12,48.20,91.30,0.12,93.17,68.20,76.02,96.65,96.15,55.78,82.11,99.50,96.89,0.75,75.40,81.37,95.40,93.79,67.33,64.71,28.16,57.43,89.73,67.22,92.82,75.71,82.24,96.49,94.63,63.29,84.00,99.06,95.90,58.44,75.26,79.89,93.73,93.25,0.104729727,0.106685139,0.138805658,0.144522876,0.087183312,0.103013277,0.083378710,0.100893699,0.104224660,0.075228341,0.077321015,0.127819121,0.080820903,0.068727732,0.074925929,0.127493739,0.099059083,0.098384462,0.075574160,0.076474786
80.87,83.60,68.57,56.65,99.50,96.65,99.75,100.00,88.94,100.00,98.51,79.25,100.00,100.00,100.00,55.90,99.50,89.19,100.00,100.00,81.58,84.31,76.58,66.73,99.09,97.40,99.57,100.00,90.42,100.00,97.97,80.75,100.00,100.00,100.00,74.25,99.05,87.93,100.00,100.00,0.054019623,0.053210836,0.079096168,0.079487599,0.040286165,0.047847375,0.038269944,0.044700768,0.046655659,0.037035707,0.037782550,0.064631134,0.039892964,0.034380592,0.036531538,0.064740807,0.046954684,0.049371526,0.037240747,0.037686903
81.37,90.81,76.65,64.72,100.00,99.75,100.00,100.00,81.24,100.00,99.75,82.73,100.00,100.00,100.00,73.91,100.00,90.06,100.00,100.00,81.29,90.00,80.73,72.24,100.00,99.57,100.00,100.00,93.57,100.00,99.54,84.25,100.00,100.00,100.00,84.28,100.00,88.61,100.00,100.00,0.038462937,0.036691125,0.053952642,0.057943325,0.028208403,0.033752196,0.029031992,0.028723955,0.032479968,0.026955780,0.028659021,0.044687472,0.027928336,0.027167637,0.027601153,0.046917345,0.029156655,0.034288608,0.027052604,0.028420724
81.49,91.43,83.98,69.94,100.00,100.00,100.00,100.00,89.32,100.00,99.75,85.96,100.00,100.00,100.00,88.45,100.00,89.94,100.00,100.00,83.16,90.75,85.96,77.31,100.00,100.00,100.00,100.00,93.50,100.00,99.54,87.13,100.00,100.00,100.00,89.37,100.00,88.49,100.00,100.00,0.033608422,0.032302693,0.044586983,0.047995720,0.026983514,0.028708065,0.027826872,0.026064716,0.028917484,0.026565831,0.026928036,0.037097901,0.026926400,0.027028712,0.027359419,0.040748585,0.026718138,0.030947408,0.025907908,0.027301660
83.48,91.68,83.98,70.43,100.00,100.00,100.00,100.00,94.29,100.00,99.75,85.96,100.00,100.00,100.00,88.45,100.00,89.94,100.00,100.00,84.55,91.26,85.96,79.49,100.00,100.00,100.00,100.00,96.14,100.00,99.54,87.13,100.00,100.00,100.00,89.37,100.00,88.49,100.00,100.00,0.033125993,0.030101076,0.039415862,0.042996984,0.027168743,0.028219212,0.026637817,0.025886400,0.028464183,0.025818340,0.026780732,0.034960970,0.026502160,0.026797663,0.027759703,0.038114078,0.026239000,0.030402754,0.025923971,0.027295860
83.48,91.80,86.09,69.32,100.00,100.00,100.00,100.00,94.29,100.00,99.75,85.96,100.00,100.00,100.00,92.80,100.00,89.57,100.00,100.00,84.55,91.47,87.47,79.40,100.00,100.00,100.00,100.00,96.14,100.00,99.54,87.13,100.00,100.00,100.00,92.71,100.00,88.39,100.00,100.00,0.033028554,0.028792581,0.038316835,0.041590005,0.026950128,0.026737990,0.026494913,0.026301704,0.029070657,0.026125452,0.027005564,0.033878226,0.026421137,0.025868017,0.026911847,0.036886897,0.025636092,0.030550756,0.025780996,0.026507027
83.48,91.80,86.09,69.32,100.00,100.00,100.00,100.00,94.29,100.00,99.75,86.96,100.00,100.00,100.00,92.80,100.00,89.94,100.00,100.00,84.55,91.31,87.47,79.40,100.00,100.00,100.00,100.00,95.71,100.00,99.54,87.48,100.00,100.00,100.00,92.71,100.00,88.59,100.00,100.00,0.031956628,0.028787760,0.034411117,0.039002139,0.025816947,0.026459863,0.026592836,0.026616499,0.027448837,0.026808335,0.026707044,0.033071298,0.026004508,0.025851952,0.026967444,0.034934919,0.026006762,0.029990176,0.026031952,0.026739685
83.48,93.04,87.33,69.32,100.00,100.00,100.00,100.00,94.29,100.00,99.75,86.96,100.00,100.00,100.00,93.66,100.00,89.94,100.00,100.00,84.55,91.56,88.75,79.40,100.00,100.00,100.00,100.00,95.71,100.00,99.54,87.48,100.00,100.00,100.00,93.70,100.00,88.59,100.00,100.00,0.031431384,0.028941840,0.034307677,0.037852757,0.026644692,0.026639787,0.025821319,0.025341392,0.027730873,0.027027927,0.026844149,0.033625383,0.026383979,0.025692845,0.026375504,0.035384305,0.025725003,0.029596040,0.025766261,0.027029192
