direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.00,0.00,0.03,0.05,0.02,0.02,1.285334229,1.194802880,1.242929220
0.00,0.03,0.03,41.69,23.82,28.12,1.443274021,1.451833725,1.443542123
0.03,0.03,0.00,67.84,35.43,54.25,0.315886617,0.793738663,0.531247795
97.88,0.03,83.24,96.76,53.10,86.21,0.059651121,0.445087165,0.168508589
99.76,0.18,85.42,99.55,61.46,90.87,0.028895069,0.271821678,0.066510811
99.70,49.52,91.33,99.50,68.34,95.01,0.024783095,0.185642898,0.037578024
99.94,0.00,91.33,99.89,71.24,95.01,0.024587251,0.147809595,0.031352304
100.00,0.00,97.15,100.00,74.11,97.59,0.024563508,0.117490277,0.030260509
100.00,0.39,97.15,100.00,75.76,97.59,0.024392460,0.104035057,0.029639948
100.00,65.30,99.88,100.00,74.30,99.82,0.024578871,0.100710571,0.028293785
100.00,70.48,99.88,100.00,78.08,99.82,0.024008671,0.093902349,0.029242679
100.00,69.58,99.88,100.00,78.04,99.82,0.024409920,0.091150925,0.027851744
100.00,69.58,99.88,100.00,78.04,99.82,0.024313606,0.086032793,0.028473351
100.00,71.03,99.88,100.00,78.18,99.82,0.025027338,0.082874879,0.028081320
100.00,71.03,99.88,100.00,78.18,99.82,0.024196828,0.084372677,0.027073476
100.00,71.03,99.88,100.00,78.18,99.82,0.024488077,0.077543586,0.028821873
100.00,71.03,99.88,100.00,78.18,99.82,0.024789380,0.077310234,0.026695762
100.00,71.45,99.88,100.00,78.55,99.82,0.024958823,0.077638082,0.028483829
100.00,71.45,99.88,100.00,78.55,99.82,0.025356162,0.076433904,0.027917048
100.00,71.45,99.88,100.00,78.55,99.82,0.025678489,0.075392194,0.028561004
100.00,71.67,99.88,100.00,79.43,99.82,0.024880176,0.074638717,0.027179778
100.00,71.67,99.88,100.00,79.43,99.82,0.024490450,0.076375172,0.028536627
100.00,72.94,99.88,100.00,79.97,99.82,0.024492476,0.075218491,0.027199125
100.00,72.94,99.88,100.00,79.97,99.82,0.025030831,0.075375080,0.028336948
100.00,72.94,99.82,100.00,79.97,99.74,0.025855614,0.079016656,0.026967313
100.00,72.94,99.82,100.00,79.97,99.74,0.025336605,0.071120553,0.026922474
100.00,72.94,99.82,100.00,79.97,99.74,0.025603758,0.072351411,0.026076388
100.00,72.94,99.82,100.00,79.97,99.74,0.025239872,0.071779393,0.026387542
100.00,73.70,99.82,100.00,80.46,99.74,0.025119672,0.070985407,0.027613295
100.00,73.00,99.82,100.00,80.23,99.74,0.024670508,0.070120253,0.028483897
100.00,73.00,99.82,100.00,80.23,99.74,0.024694532,0.071852788,0.029424973
100.00,73.00,99.82,100.00,80.23,99.74,0.023767289,0.069908977,0.029605657
100.00,73.30,99.82,100.00,80.53,99.74,0.024537176,0.071275540,0.027534096
100.00,73.30,99.82,100.00,80.53,99.74,0.025984056,0.070238709,0.027254930
100.00,73.30,99.82,100.00,80.53,99.74,0.024696700,0.070813946,0.027503084
100.00,73.30,99.82,100.00,80.53,99.74,0.024422351,0.068802446,0.025811680
100.00,73.30,99.82,100.00,80.53,99.74,0.024281548,0.070039451,0.024958262
100.00,73.30,99.82,100.00,80.53,99.74,0.024822278,0.067284673,0.025440533
100.00,73.30,99.82,100.00,80.53,99.74,0.024740493,0.069874056,0.025949204
100.00,73.27,99.82,100.00,79.79,99.74,0.024276940,0.071114831,0.025168702
100.00,73.27,99.82,100.00,79.79,99.74,0.024331208,0.069511570,0.025065541
100.00,73.27,99.82,100.00,79.79,99.74,0.023687948,0.069915541,0.026692828
100.00,73.27,99.82,100.00,79.79,99.74,0.024050226,0.067916967,0.026325380
100.00,73.27,99.82,100.00,79.79,99.74,0.024672741,0.069775857,0.025662985
100.00,73.27,99.82,100.00,79.79,99.74,0.024669040,0.066885024,0.025363564
100.00,73.42,99.88,100.00,81.20,99.85,0.025285689,0.067862146,0.025783256
100.00,73.42,99.88,100.00,81.20,99.85,0.024529772,0.075085990,0.025744701
100.00,73.42,99.88,100.00,81.20,99.85,0.024397697,0.072181411,0.025626387
100.00,73.42,99.88,100.00,81.20,99.85,0.024476832,0.066635057,0.026007451
100.00,73.42,99.88,100.00,81.20,99.85,0.024572097,0.067011379,0.025201177
100.00,73.27,99.88,100.00,79.97,99.85,0.025637072,0.066964023,0.024573144
100.00,73.27,99.88,100.00,79.97,99.85,0.025291765,0.066035241,0.024667503
100.00,73.55,99.88,100.00,80.51,99.86,0.025462044,0.067979477,0.024981940
100.00,73.55,99.88,100.00,80.51,99.86,0.024754250,0.068840437,0.024856152
100.00,73.55,99.88,100.00,80.51,99.86,0.024183769,0.070455357,0.025668012
100.00,74.33,99.88,100.00,81.60,99.86,0.025347710,0.067962162,0.024841692
100.00,74.33,99.88,100.00,81.60,99.86,0.024504069,0.066408977,0.024661358
100.00,74.33,99.88,100.00,81.60,99.86,0.024605272,0.068495758,0.024529563
100.00,74.33,99.88,100.00,81.60,99.86,0.025152080,0.068562388,0.026532188
100.00,74.33,99.88,100.00,81.60,99.86,0.025043542,0.068002038,0.025307691
100.00,73.88,99.88,100.00,81.50,99.86,0.024127752,0.064087167,0.024475852
100.00,73.88,99.88,100.00,81.50,99.86,0.023953702,0.067995749,0.024225185
100.00,73.88,99.88,100.00,81.50,99.86,0.024315633,0.068212688,0.024465095
100.00,73.88,99.88,100.00,81.50,99.86,0.025091805,0.064558536,0.024116855
100.00,75.36,99.88,100.00,82.38,99.86,0.026377974,0.064063065,0.025218848
100.00,75.36,99.88,100.00,82.38,99.86,0.025723819,0.064465366,0.024819624
100.00,75.36,99.88,100.00,82.38,99.86,0.025455480,0.063301072,0.025227230
100.00,75.36,100.00,100.00,82.38,100.00,0.024634678,0.064184874,0.024830798
100.00,75.36,100.00,100.00,82.38,100.00,0.025061212,0.066317134,0.025650132
100.00,75.36,100.00,100.00,82.38,100.00,0.024846373,0.067334749,0.025149217
100.00,75.36,100.00,100.00,82.38,100.00,0.025679398,0.066663414,0.025335347
100.00,75.36,100.00,100.00,82.38,100.00,0.027705142,0.062612273,0.025716417
100.00,75.36,100.00,100.00,82.38,100.00,0.025584970,0.063129812,0.025757063
100.00,73.79,100.00,100.00,81.26,100.00,0.026700161,0.062419787,0.024928998
100.00,73.79,100.00,100.00,81.26,100.00,0.025548091,0.063437827,0.024745241
100.00,73.79,100.00,100.00,81.26,100.00,0.027620632,0.065187477,0.025538592
100.00,73.79,100.00,100.00,81.26,100.00,0.025719767,0.066365674,0.024922293
100.00,73.79,100.00,100.00,81.26,100.00,0.026251696,0.065820329,0.025830051
100.00,73.79,100.00,100.00,81.26,100.00,0.026309177,0.064220637,0.025848487
100.00,74.12,100.00,100.00,81.46,100.00,0.025502624,0.066579461,0.025377253
100.00,74.12,100.00,100.00,81.46,100.00,0.027537655,0.065837510,0.024443444
100.00,74.12,100.00,100.00,81.46,100.00,0.027234606,0.064712189,0.025567301
100.00,74.12,100.00,100.00,81.46,100.00,0.027488347,0.061866067,0.023917733
100.00,74.12,100.00,100.00,81.46,100.00,0.027578585,0.064096667,0.024977328
100.00,74.12,100.00,100.00,81.46,100.00,0.028460572,0.063445650,0.024702355
100.00,74.12,100.00,100.00,81.46,100.00,0.026609296,0.064655416,0.024790080
100.00,74.12,100.00,100.00,81.46,100.00,0.024245998,0.064274415,0.024498131
100.00,74.12,100.00,100.00,81.46,100.00,0.026540430,0.066038594,0.024458392
100.00,74.12,100.00,100.00,81.46,100.00,0.027131308,0.064137101,0.024213033
100.00,74.12,100.00,100.00,81.46,100.00,0.025654534,0.066302113,0.025281150
100.00,74.12,100.00,100.00,81.46,100.00,0.025231073,0.063920170,0.024839040
100.00,74.12,100.00,100.00,81.46,100.00,0.026275652,0.064574607,0.025435016
100.00,74.12,100.00,100.00,81.46,100.00,0.024981240,0.064622022,0.025249301
100.00,74.12,100.00,100.00,81.46,100.00,0.025105564,0.067799278,0.025729127
100.00,74.12,100.00,100.00,81.46,100.00,0.024117695,0.068087667,0.026740532
100.00,74.12,100.00,100.00,81.46,100.00,0.025114644,0.066653706,0.025798831
100.00,74.12,100.00,100.00,81.46,100.00,0.024142768,0.065278068,0.025472660
100.00,74.24,100.00,100.00,81.70,100.00,0.025029993,0.066032305,0.025571210
100.00,74.24,100.00,100.00,81.70,100.00,0.026056623,0.066832580,0.024946740
100.00,74.24,100.00,100.00,81.70,100.00,0.024943456,0.064416759,0.025190352
