direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.00,0.08,0.00,0.02,0.03,0.02,6.110316277,6.057391644,6.037522316
0.04,0.21,0.00,50.34,35.53,29.36,0.637355387,0.654372036,0.717701435
64.49,0.81,0.00,82.77,59.52,59.84,0.103974395,0.212255865,0.244867146
98.94,64.75,90.34,98.62,74.13,90.04,0.026504865,0.086100765,0.074758895
100.00,70.30,99.24,100.00,78.43,98.90,0.018276004,0.053016372,0.028072564
100.00,70.30,99.79,100.00,78.43,99.64,0.016963519,0.047200363,0.019759471
100.00,75.76,100.00,100.00,81.77,100.00,0.016883412,0.042776879,0.017207768
100.00,75.76,100.00,100.00,81.77,100.00,0.017578973,0.039569218,0.017007248
100.00,75.76,100.00,100.00,81.77,100.00,0.017640995,0.039143596,0.017115785
100.00,75.76,100.00,100.00,81.77,100.00,0.017576739,0.037830904,0.016882513
100.00,75.76,100.00,100.00,81.77,100.00,0.016775293,0.037411641,0.016787594
100.00,78.43,100.00,100.00,83.72,100.00,0.017549433,0.037388869,0.017362680
100.00,78.43,100.00,100.00,83.72,100.00,0.017093148,0.035174441,0.017156852
100.00,79.62,100.00,100.00,83.54,100.00,0.016961006,0.034818593,0.018720211
100.00,79.62,100.00,100.00,83.54,100.00,0.017021280,0.033612967,0.019512156
100.00,79.62,100.00,100.00,83.54,100.00,0.016933909,0.033322353,0.018935116
100.00,80.25,100.00,100.00,84.76,100.00,0.017368888,0.033726808,0.018632069
100.00,80.25,100.00,100.00,84.76,100.00,0.017813155,0.033431094,0.020050503
100.00,80.25,100.00,100.00,84.76,100.00,0.017505361,0.032957841,0.019248640
100.00,80.25,100.00,100.00,84.76,100.00,0.017740728,0.032742865,0.019280210
100.00,80.25,100.00,100.00,84.76,100.00,0.017302258,0.031524673,0.017209724
100.00,80.25,100.00,100.00,84.76,100.00,0.017472884,0.031343918,0.017097766
100.00,80.25,100.00,100.00,84.76,100.00,0.016635889,0.031757317,0.017871274
100.00,80.25,100.00,100.00,84.76,100.00,0.017416380,0.030741803,0.017957460
100.00,80.25,100.00,100.00,84.76,100.00,0.017808057,0.032253060,0.016884325
100.00,80.25,100.00,100.00,84.76,100.00,0.017583095,0.030297186,0.017377205
100.00,80.25,100.00,100.00,84.76,100.00,0.016822858,0.030876253,0.018145407
100.00,80.25,100.00,100.00,84.76,100.00,0.017105930,0.030192493,0.016911006
100.00,80.25,100.00,100.00,84.76,100.00,0.017500820,0.029089397,0.017167957
100.00,80.25,100.00,100.00,84.76,100.00,0.017019814,0.029915843,0.017536936
100.00,80.93,100.00,100.00,86.74,100.00,0.017719496,0.029475138,0.017865824
100.00,80.93,100.00,100.00,86.74,100.00,0.017148744,0.029910536,0.016957313
100.00,80.93,100.00,100.00,86.74,100.00,0.017215371,0.031107431,0.016852409
100.00,80.93,100.00,100.00,86.74,100.00,0.016343666,0.029280905,0.016438451
100.00,80.93,100.00,100.00,86.74,100.00,0.016724030,0.029801372,0.016659293
100.00,80.93,100.00,100.00,86.74,100.00,0.016685057,0.030793907,0.016970372
100.00,80.93,100.00,100.00,86.74,100.00,0.017695680,0.029734813,0.017098675
100.00,80.93,100.00,100.00,86.74,100.00,0.016622549,0.031266112,0.017053137
100.00,80.93,100.00,100.00,86.74,100.00,0.015770609,0.030548690,0.016581280
100.00,80.93,100.00,100.00,86.74,100.00,0.016273197,0.029679287,0.017476803
100.00,80.93,100.00,100.00,86.74,100.00,0.017117174,0.028550770,0.017285991
100.00,80.93,100.00,100.00,86.74,100.00,0.017056132,0.030118320,0.017064730
100.00,80.93,100.00,100.00,86.74,100.00,0.016525120,0.029622996,0.016967300
100.00,80.93,100.00,100.00,86.74,100.00,0.016690576,0.031384356,0.017556284
100.00,80.93,100.00,100.00,86.74,100.00,0.016933559,0.029716237,0.018156301
100.00,80.93,100.00,100.00,86.74,100.00,0.017311687,0.029161476,0.016558232
100.00,80.93,100.00,100.00,86.74,100.00,0.017222008,0.030763665,0.016461918
100.00,80.93,100.00,100.00,86.74,100.00,0.017511576,0.030580608,0.016651820
100.00,80.93,100.00,100.00,86.74,100.00,0.018725023,0.030243829,0.016777188
100.00,80.93,100.00,100.00,86.74,100.00,0.018278448,0.030043099,0.016472396
100.00,80.93,100.00,100.00,86.74,100.00,0.017659713,0.030613223,0.016818324
100.00,80.93,100.00,100.00,86.74,100.00,0.016797015,0.029971162,0.016374545
