direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.00,0.12,0.00,0.37,0.00,0.00,0.00,0.12,0.25,0.00,0.25,0.12,0.25,0.12,0.12,0.12,0.00,0.12,0.00,0.25,0.19,0.19,0.12,0.06,0.27,0.40,0.12,0.37,0.12,0.25,0.12,0.13,0.19,0.13,0.00,0.12,0.31,0.12,0.06,0.06,6.122495174,6.071897984,6.013555527,5.972371101,6.008315086,6.426883698,6.152459621,6.424105167,6.112321854,6.051406384,6.065766811,6.006221771,6.095925331,6.093339920,6.031818867,6.378728390,5.971402168,6.169090271,5.985436916,6.332134247
0.25,0.12,0.62,0.37,0.25,0.12,0.25,0.12,0.37,0.25,0.50,0.12,0.12,0.12,0.00,0.00,0.25,0.37,0.25,0.87,31.33,29.70,29.81,33.90,35.99,43.11,58.16,42.13,41.52,56.37,59.99,31.55,48.14,69.32,52.94,31.17,42.83,33.91,58.35,53.31,0.278758109,0.294582605,0.278754354,0.285836399,0.285785645,0.307154059,0.285319775,0.290154546,0.273027748,0.297339767,0.289958358,0.295594513,0.299979031,0.281530201,0.282669902,0.272994369,0.303334951,0.292984307,0.294525951,0.272148281
1.12,0.50,0.62,0.87,90.31,61.24,93.66,87.83,60.50,98.39,93.54,0.37,95.65,99.75,98.51,0.50,0.99,9.94,96.77,92.42,60.04,67.73,29.81,56.98,89.95,75.11,94.02,84.09,75.88,97.31,92.58,56.97,93.42,99.50,97.67,52.69,79.80,65.77,95.21,93.36,0.106571957,0.106677979,0.135273457,0.138954163,0.082552470,0.108231328,0.082486726,0.101092614,0.096566290,0.070793770,0.074397638,0.129255995,0.077810489,0.066602893,0.074399501,0.121992938,0.097255863,0.101345643,0.070662126,0.075721055
74.41,84.10,65.96,64.35,99.75,96.65,100.00,100.00,84.47,100.00,98.01,65.71,100.00,100.00,100.00,41.99,97.52,88.07,100.00,100.00,80.54,83.73,73.27,71.30,99.57,95.28,100.00,100.00,93.51,100.00,97.76,73.78,100.00,100.00,100.00,71.96,96.72,86.73,100.00,100.00,0.057807513,0.050940577,0.075738430,0.079736575,0.041984525,0.048942033,0.039128453,0.043951668,0.044933811,0.033944547,0.036271814,0.064084955,0.038527280,0.034736846,0.036630940,0.061953016,0.044943556,0.048428696,0.034864783,0.038068805
79.75,89.94,76.02,64.35,100.00,100.00,100.00,100.00,83.85,100.00,100.00,80.87,100.00,100.00,100.00,75.28,100.00,89.69,100.00,100.00,81.94,88.89,82.41,71.30,100.00,100.00,100.00,100.00,94.30,100.00,100.00,82.67,100.00,100.00,100.00,83.46,100.00,88.59,100.00,100.00,0.039697707,0.035241719,0.053257994,0.055976812,0.029939566,0.032807987,0.027825588,0.028034139,0.031681255,0.026161408,0.027407562,0.043943200,0.027313828,0.025972961,0.026921717,0.042359959,0.031014081,0.034132820,0.025842968,0.027633207
80.75,93.29,79.88,70.56,100.00,100.00,100.00,100.00,93.17,100.00,100.00,83.48,100.00,100.00,100.00,89.94,100.00,89.69,100.00,100.00,83.72,92.11,83.33,77.83,100.00,100.00,100.00,100.00,94.11,100.00,100.00,85.97,100.00,100.00,100.00,89.42,100.00,88.59,100.00,100.00,0.036344703,0.030524870,0.040893640,0.046956033,0.026162678,0.027513251,0.026767662,0.025534425,0.028423797,0.023518439,0.026948407,0.034959231,0.026244584,0.024579711,0.026546936,0.035651375,0.026376860,0.030993754,0.024807112,0.026329428
82.48,92.67,85.47,70.56,100.00,100.00,100.00,100.00,96.27,100.00,100.00,86.34,100.00,100.00,100.00,89.81,100.00,89.69,100.00,100.00,84.31,90.62,88.04,77.83,100.00,100.00,100.00,100.00,96.74,100.00,100.00,86.02,100.00,100.00,100.00,89.84,100.00,88.59,100.00,100.00,0.034538254,0.029581277,0.037236881,0.042903535,0.026668629,0.026279315,0.026702706,0.024539564,0.026693972,0.024406856,0.025768043,0.032831296,0.025806801,0.023820717,0.026054185,0.033119533,0.025500806,0.029795513,0.024922844,0.025441293
82.48,92.67,85.47,70.56,100.00,100.00,100.00,100.00,96.27,100.00,100.00,86.34,100.00,100.00,100.00,89.69,100.00,89.69,100.00,100.00,84.31,90.62,88.04,77.83,100.00,100.00,100.00,100.00,96.74,100.00,100.00,86.02,100.00,100.00,100.00,90.90,100.00,88.59,100.00,100.00,0.033896875,0.027724613,0.035592545,0.039022792,0.025714001,0.026159532,0.025825957,0.025848860,0.026159244,0.024707604,0.026318554,0.031746130,0.025736541,0.024337981,0.026646741,0.031893000,0.025219196,0.029886307,0.024816332,0.024567125
83.48,92.67,85.47,70.56,100.00,100.00,100.00,100.00,96.27,100.00,100.00,86.34,100.00,100.00,100.00,89.69,100.00,89.69,100.00,100.00,85.32,90.62,88.04,77.83,100.00,100.00,100.00,100.00,96.74,100.00,100.00,86.02,100.00,100.00,100.00,90.90,100.00,88.59,100.00,100.00,0.034508225,0.028741889,0.034178969,0.036954358,0.025620621,0.024608087,0.026629580,0.025520943,0.025739344,0.025212437,0.026540658,0.031612169,0.026002295,0.024886323,0.025922738,0.029885476,0.024733501,0.029201208,0.024719598,0.025799245
83.48,94.41,85.47,70.56,100.00,100.00,100.00,100.00,96.27,100.00,100.00,86.46,100.00,100.00,100.00,91.55,100.00,89.69,100.00,100.00,85.32,92.71,88.04,77.83,100.00,100.00,100.00,100.00,96.74,100.00,100.00,86.79,100.00,100.00,100.00,92.45,100.00,88.59,100.00,100.00,0.033389460,0.028513640,0.033230554,0.037044175,0.025504049,0.025067171,0.025049638,0.024268849,0.024962468,0.024909873,0.025763156,0.030844655,0.025768949,0.025176248,0.026203930,0.029505804,0.024980888,0.029176204,0.024575090,0.025846457
83.48,94.41,85.47,70.56,100.00,100.00,100.00,100.00,96.65,100.00,100.00,86.46,100.00,100.00,100.00,91.55,100.00,89.69,100.00,100.00,85.32,92.71,88.04,77.83,100.00,100.00,100.00,100.00,97.37,100.00,100.00,86.79,100.00,100.00,100.00,92.45,100.00,88.59,100.00,100.00,0.032905228,0.028083190,0.032874979,0.036757749,0.024915123,0.026167285,0.026882205,0.025323004,0.024925521,0.024932852,0.025692051,0.031173969,0.026273221,0.025687017,0.025849681,0.029337687,0.024687193,0.029345715,0.023968844,0.025205152
83.48,93.91,85.47,70.56,100.00,100.00,100.00,100.00,96.65,100.00,100.00,86.46,100.00,100.00,100.00,93.91,100.00,89.69,100.00,100.00,85.32,92.71,88.04,77.83,100.00,100.00,100.00,100.00,97.37,100.00,100.00,86.79,100.00,100.00,100.00,94.22,100.00,88.59,100.00,100.00,0.032862205,0.028059792,0.033334970,0.036400355,0.025196247,0.025383215,0.026222529,0.024504991,0.025150279,0.024774933,0.026320092,0.032629587,0.025714681,0.024359493,0.025806308,0.028793324,0.024089959,0.028976521,0.024182497,0.025119312
83.48,94.04,85.59,70.56,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,93.91,100.00,89.69,100.00,100.00,85.32,92.88,89.37,77.83,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.22,100.00,88.59,100.00,100.00,0.032381050,0.028514059,0.033370592,0.035733271,0.026116932,0.025068779,0.026193405,0.025053686,0.025287520,0.024966447,0.026216092,0.030738421,0.025336472,0.025403591,0.026181160,0.028648678,0.025374040,0.029198624,0.024679925,0.024440568
83.48,94.04,88.32,70.56,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,93.91,100.00,89.81,100.00,100.00,85.32,92.88,90.53,77.83,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.22,100.00,88.39,100.00,100.00,0.032896642,0.026458826,0.032648824,0.036700055,0.025907047,0.024195869,0.026228257,0.024975112,0.024950871,0.024637202,0.026377223,0.030279266,0.025827128,0.025404081,0.026823375,0.027583906,0.024604918,0.029186333,0.024948616,0.024884148
83.48,94.04,88.32,70.56,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,93.91,100.00,89.81,100.00,100.00,85.64,92.88,90.53,77.83,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.22,100.00,88.39,100.00,100.00,0.032158803,0.027376369,0.032238629,0.034661654,0.025880229,0.025052154,0.026057556,0.025518568,0.024829974,0.024841076,0.025993990,0.031375468,0.026136257,0.024875499,0.025415044,0.026827425,0.024319956,0.029573476,0.025379274,0.024900353
83.48,94.04,88.32,70.06,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,93.91,100.00,89.81,100.00,100.00,85.64,92.88,90.53,80.14,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.22,100.00,88.39,100.00,100.00,0.032114036,0.027185485,0.032005560,0.035135340,0.025345992,0.025059769,0.026231678,0.024690358,0.024874324,0.024543261,0.026483595,0.031125983,0.025816649,0.024876617,0.026206376,0.027052533,0.024472844,0.030281276,0.024468647,0.025354477
83.48,94.04,85.96,71.93,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,93.91,100.00,89.81,100.00,100.00,85.64,92.88,89.32,81.35,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.22,100.00,88.39,100.00,100.00,0.032304220,0.028528864,0.031521682,0.036215127,0.025459347,0.025167748,0.025805768,0.024351403,0.024403924,0.023795720,0.025937693,0.030875105,0.024647880,0.025296099,0.026268885,0.027122237,0.025258169,0.029604629,0.025063928,0.024547290
83.48,94.04,85.96,71.93,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,93.91,100.00,89.81,100.00,100.00,85.64,92.88,89.32,81.35,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.22,100.00,88.39,100.00,100.00,0.032077160,0.027035668,0.032119054,0.036913566,0.025368271,0.025375044,0.026054204,0.024352172,0.024731772,0.024356220,0.026166154,0.030448778,0.025571777,0.024656959,0.025923649,0.026297521,0.025391711,0.027393157,0.025530206,0.024698852
83.48,94.29,85.96,71.93,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,94.04,100.00,89.81,100.00,100.00,85.64,92.93,89.32,81.35,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.29,100.00,88.39,100.00,100.00,0.032032669,0.028119439,0.031882703,0.035920735,0.025547002,0.025331112,0.026171893,0.025244361,0.024930969,0.024190200,0.026429676,0.030290652,0.025362456,0.025131481,0.025658447,0.026635354,0.024968386,0.028519880,0.024917884,0.025048420
83.48,94.29,85.96,71.93,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,94.04,100.00,89.81,100.00,100.00,85.64,92.93,89.32,81.35,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.29,100.00,88.39,100.00,100.00,0.032170400,0.027324684,0.032124855,0.034718368,0.025401099,0.025569489,0.025840132,0.024233928,0.025032591,0.024661716,0.025916742,0.030632397,0.025971144,0.024656748,0.025334025,0.025866931,0.024284193,0.027729316,0.025060644,0.025137613
83.48,94.29,85.96,72.42,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,94.04,100.00,89.81,100.00,100.00,85.64,92.93,89.32,81.41,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,94.29,100.00,88.39,100.00,100.00,0.032589812,0.028465169,0.031906452,0.035448171,0.025652677,0.025019538,0.026025221,0.024532160,0.024626099,0.025134770,0.025775097,0.031236757,0.025675356,0.025071483,0.025830263,0.027193338,0.023940632,0.028114645,0.024762204,0.025333036
83.48,94.29,85.96,72.42,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.46,100.00,100.00,100.00,94.53,100.00,89.81,100.00,100.00,85.64,92.93,89.32,81.41,100.00,100.00,100.00,100.00,97.27,100.00,100.00,86.79,100.00,100.00,100.00,95.53,100.00,88.39,100.00,100.00,0.032323007,0.028085424,0.032700229,0.034595165,0.025513688,0.025472824,0.025809051,0.024573509,0.024799939,0.024557091,0.025680948,0.030870216,0.025752744,0.025272563,0.026130594,0.028281298,0.025033690,0.028079024,0.024736429,0.024602955
83.48,94.29,85.96,72.42,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.34,100.00,100.00,100.00,94.53,100.00,89.81,100.00,100.00,85.64,92.93,89.32,81.41,100.00,100.00,100.00,100.00,97.27,100.00,100.00,87.72,100.00,100.00,100.00,95.53,100.00,88.39,100.00,100.00,0.032563064,0.026829837,0.032510184,0.035136595,0.025211051,0.025550004,0.026346643,0.025494892,0.024544241,0.024619600,0.026061736,0.030045358,0.026427576,0.024969650,0.026562648,0.027936338,0.024955183,0.028066805,0.024749212,0.025121616
83.48,94.29,85.96,72.42,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.34,100.00,100.00,100.00,94.53,100.00,89.81,100.00,100.00,85.64,92.93,89.32,81.41,100.00,100.00,100.00,100.00,97.27,100.00,100.00,87.72,100.00,100.00,100.00,95.53,100.00,88.39,100.00,100.00,0.032071780,0.026375853,0.033261288,0.034574494,0.025400260,0.025158528,0.026063772,0.025003819,0.024773328,0.024685744,0.026055939,0.030474549,0.025685761,0.024940524,0.026274752,0.027517064,0.024452448,0.027723867,0.024895046,0.024703251
83.48,94.29,85.96,72.42,100.00,100.00,100.00,100.00,96.15,100.00,100.00,86.34,100.00,100.00,100.00,94.53,100.00,89.81,100.00,100.00,85.64,92.93,89.32,81.41,100.00,100.00,100.00,100.00,97.27,100.00,100.00,87.72,100.00,100.00,100.00,95.53,100.00,88.39,100.00,100.00,0.032858294,0.027370989,0.031997874,0.034874752,0.025936872,0.024678700,0.025135756,0.025220752,0.024610523,0.024064690,0.025802476,0.030931260,0.026076330,0.024840297,0.026177879,0.028302180,0.024946457,0.028313840,0.024087019,0.024276227
