direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.08,0.04,0.00,0.04,0.06,0.08,0.689296126,0.690604270,0.658368647
0.00,0.08,0.04,43.64,27.70,23.55,2.118525267,2.206953049,2.497477055
83.39,0.76,0.04,85.20,55.18,37.82,0.415248066,0.822100818,1.244661689
96.57,61.99,0.00,97.27,67.86,55.48,0.097455338,0.351854771,0.647678316
99.53,67.29,52.33,99.24,72.17,63.83,0.060926806,0.228400439,0.380207777
99.49,69.70,64.19,99.42,74.86,71.21,0.053637363,0.191302747,0.269840628
99.70,69.70,67.25,99.55,74.86,73.92,0.052069932,0.174161926,0.204792842
99.75,70.21,74.07,99.68,76.56,77.28,0.050468344,0.166117117,0.164611921
99.75,70.21,74.70,99.68,76.56,78.23,0.053852625,0.161460161,0.145421803
99.75,71.40,76.57,99.68,76.18,80.18,0.054084990,0.154446945,0.129830182
99.83,71.23,82.71,99.78,75.57,82.59,0.054116633,0.153451040,0.118967049
99.83,71.23,83.81,99.78,75.57,83.61,0.055297054,0.145703495,0.114064924
99.83,71.99,83.81,99.78,76.37,83.61,0.055301599,0.148886755,0.110812448
99.83,71.99,83.81,99.78,76.37,83.61,0.055296499,0.140966624,0.103489198
99.83,71.27,84.19,99.78,76.94,84.47,0.055001128,0.139316842,0.098076031
99.83,71.27,84.19,99.78,76.94,84.47,0.054632425,0.137781948,0.094957024
99.83,73.09,85.30,99.78,77.19,85.76,0.053785920,0.137978151,0.092029251
99.83,71.53,85.30,99.78,76.02,85.76,0.056216691,0.135412365,0.096726999
99.83,71.53,87.71,99.78,76.02,87.03,0.055612404,0.132586211,0.090710036
99.83,71.53,87.71,99.78,76.02,87.03,0.053472534,0.134823233,0.088255174
99.83,71.53,87.71,99.78,76.02,87.03,0.053887405,0.136230096,0.088797510
99.83,71.53,87.71,99.78,76.02,87.03,0.053178839,0.133649305,0.087190822
99.83,71.53,87.71,99.78,76.02,87.03,0.053446829,0.134863257,0.085552573
99.83,71.53,87.71,99.78,76.02,87.03,0.055013631,0.140818745,0.084828503
99.83,71.53,87.71,99.78,76.02,87.03,0.053770136,0.140068009,0.085822307
99.83,71.53,87.71,99.78,76.02,87.03,0.053968426,0.135960221,0.085999571
99.83,71.53,87.08,99.78,76.02,86.96,0.053590361,0.135422498,0.085816234
99.83,71.53,87.08,99.78,76.02,86.96,0.053399056,0.134827569,0.084385626
99.83,71.53,87.08,99.78,76.02,86.96,0.053322438,0.135127753,0.084967218
99.83,71.53,87.08,99.78,76.02,86.96,0.054059569,0.136002749,0.085099213
99.83,71.53,87.08,99.78,76.02,86.96,0.055244602,0.136000678,0.084845126
99.83,72.54,87.08,99.78,76.83,86.96,0.052532647,0.137899503,0.084766686
99.83,72.54,87.08,99.78,76.83,86.96,0.053577088,0.134991139,0.086506285
99.83,72.54,87.08,99.78,76.83,86.96,0.055062313,0.135609537,0.086273149
99.83,72.54,87.08,99.78,76.83,86.96,0.054070812,0.133218721,0.088066943
100.00,72.54,87.08,100.00,76.83,86.96,0.055012025,0.139756516,0.092984706
100.00,72.54,87.08,100.00,76.83,86.96,0.054338522,0.136849061,0.085111439
100.00,72.54,88.64,100.00,76.83,87.57,0.062041230,0.136820138,0.084514208
100.00,72.54,88.64,100.00,76.83,87.57,0.058017749,0.134846911,0.084001064
100.00,72.54,88.64,100.00,76.83,87.57,0.058101561,0.136269212,0.083116986
100.00,72.54,88.64,100.00,76.83,87.57,0.059064984,0.134688780,0.082568921
100.00,72.54,88.64,100.00,76.83,87.57,0.055400982,0.132734761,0.086345926
100.00,72.54,88.64,100.00,76.83,87.57,0.053030074,0.134732515,0.083673850
100.00,72.54,88.64,100.00,76.83,87.57,0.052737217,0.138173714,0.085000947
100.00,72.54,88.64,100.00,76.83,87.57,0.054969698,0.137604356,0.084394842
100.00,72.54,88.64,100.00,76.83,87.57,0.053868823,0.135229588,0.082875393
100.00,72.54,88.64,100.00,76.83,87.57,0.055910844,0.140338451,0.083619162
100.00,72.54,88.64,100.00,76.83,87.57,0.056998521,0.135625243,0.083746552
100.00,72.54,88.64,100.00,76.83,87.57,0.066199869,0.139234707,0.083271198
100.00,72.54,88.64,100.00,76.83,87.57,0.062486347,0.135698378,0.083900414
100.00,72.54,88.64,100.00,76.83,87.57,0.062580004,0.134193182,0.086224891
100.00,72.54,88.64,100.00,76.83,87.57,0.064952672,0.133348972,0.085001506
100.00,72.54,88.64,100.00,76.83,87.57,0.062848344,0.135009930,0.084997870
100.00,72.54,88.22,100.00,76.83,87.91,0.061513495,0.133203566,0.088083982
100.00,72.54,88.22,100.00,76.83,87.91,0.061503857,0.135454476,0.084257036
100.00,72.54,88.22,100.00,76.83,87.91,0.058272399,0.134509772,0.085947819
100.00,72.54,88.22,100.00,76.83,87.91,0.065088935,0.135371163,0.082478337
100.00,72.54,88.22,100.00,76.83,87.91,0.061049245,0.133655027,0.083165944
100.00,72.54,88.22,100.00,76.83,87.91,0.057298288,0.137105942,0.084718779
100.00,72.54,88.22,100.00,76.83,87.91,0.050737944,0.136836067,0.083141848
100.00,72.54,88.22,100.00,76.83,87.91,0.050883569,0.133229405,0.082724810
100.00,72.54,88.22,100.00,76.83,87.91,0.052321367,0.132036060,0.080481149
100.00,72.54,88.22,100.00,76.83,87.91,0.055801328,0.130029932,0.078045703
100.00,72.54,88.22,100.00,76.83,87.91,0.054834902,0.130751699,0.077342585
100.00,72.54,88.22,100.00,76.83,87.91,0.053815324,0.130583242,0.077208906
100.00,72.54,88.22,100.00,76.83,87.91,0.055343226,0.131197929,0.079158455
100.00,72.54,88.22,100.00,76.83,87.91,0.054419193,0.131033525,0.079479173
100.00,72.54,88.22,100.00,76.83,87.91,0.056119401,0.132192641,0.079515219
100.00,72.54,88.22,100.00,76.83,87.91,0.060088195,0.129603326,0.080182709
100.00,72.54,88.22,100.00,76.83,87.91,0.057392508,0.132131740,0.079610623
100.00,72.54,88.56,100.00,76.83,87.48,0.056175899,0.140590161,0.078107230
100.00,72.54,88.35,100.00,76.83,87.41,0.053550616,0.128850415,0.078689381
100.00,72.54,88.35,100.00,76.83,87.41,0.055061337,0.130114868,0.077811375
100.00,72.54,88.35,100.00,76.83,87.41,0.053394448,0.130444884,0.080562033
100.00,72.54,88.35,100.00,76.83,87.41,0.056097049,0.132250413,0.075457782
100.00,72.54,88.35,100.00,76.83,87.41,0.052520633,0.130225077,0.077802226
100.00,72.54,88.35,100.00,76.83,87.41,0.055126291,0.131848589,0.077605613
100.00,72.54,88.35,100.00,76.83,87.41,0.058655839,0.133772299,0.076783210
100.00,72.54,88.35,100.00,76.83,87.41,0.057121377,0.133463725,0.076167539
100.00,72.54,88.35,100.00,76.83,87.41,0.055951703,0.131489396,0.075142577
100.00,72.54,88.35,100.00,76.83,87.41,0.054733701,0.133411005,0.075365029
100.00,72.54,88.35,100.00,76.83,87.41,0.052780591,0.137767076,0.074888207
100.00,72.54,88.35,100.00,76.83,87.41,0.051801104,0.140980303,0.074125096
100.00,72.54,88.35,100.00,76.83,87.41,0.052102480,0.133462548,0.076658539
100.00,72.54,88.35,100.00,76.83,87.41,0.055155903,0.133490965,0.080378063
100.00,72.54,88.35,100.00,76.83,87.41,0.053594895,0.131039873,0.075660050
100.00,72.54,88.35,100.00,76.83,87.41,0.050555158,0.130486712,0.076012902
100.00,72.54,89.66,100.00,76.83,88.87,0.053904023,0.129545510,0.077242851
100.00,72.54,89.66,100.00,76.83,88.87,0.056969464,0.131624326,0.076502718
100.00,72.54,89.66,100.00,76.83,88.87,0.060230888,0.133214876,0.073548257
100.00,72.54,89.66,100.00,76.83,88.87,0.056606770,0.133384600,0.075733528
100.00,72.54,89.66,100.00,76.83,88.87,0.057833433,0.131827354,0.074253120
100.00,72.54,89.66,100.00,76.83,88.87,0.054713026,0.131904334,0.076477014
100.00,72.54,90.13,100.00,76.83,88.88,0.053724390,0.132574692,0.076457664
100.00,72.54,89.62,100.00,76.83,88.67,0.052947864,0.131552175,0.074725054
100.00,72.54,89.62,100.00,76.83,88.67,0.054069765,0.131773785,0.073896848
100.00,72.54,89.62,100.00,76.83,88.67,0.053736053,0.132624701,0.075028040
100.00,72.54,89.62,100.00,76.83,88.67,0.053643860,0.129723117,0.075528607
100.00,72.54,89.62,100.00,76.83,88.67,0.053341087,0.128924653,0.075278215
100.00,72.54,89.62,100.00,76.83,88.67,0.053516325,0.129667312,0.075490266
