direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.50,0.12,0.25,0.12,0.12,0.50,0.25,0.25,0.12,0.00,0.12,0.25,0.25,0.12,0.00,0.00,0.00,0.25,0.12,0.12,0.08,0.39,0.06,0.14,0.06,0.31,0.06,0.25,0.06,0.20,0.06,0.06,0.25,0.12,0.16,0.31,0.12,0.00,0.21,0.23,0.665768325,0.627772868,0.649140835,0.637311041,0.660320938,0.641821861,0.643397808,0.614287257,0.638713956,0.613104224,0.643536806,0.634889185,0.615215957,0.639042199,0.622519255,0.640402555,0.609471798,0.633857965,0.630271733,0.612681746
0.00,0.12,0.12,0.12,1.49,0.00,0.12,0.12,0.50,0.12,0.12,0.00,0.00,0.99,0.50,0.25,0.00,0.50,0.00,0.62,36.54,29.35,34.18,31.95,36.53,33.61,56.80,37.75,33.35,55.52,48.78,30.50,52.66,77.12,59.02,37.12,40.40,28.39,58.92,57.52,0.044999518,0.050172918,0.047456902,0.048174404,0.048464116,0.047959775,0.047140297,0.046545509,0.046947949,0.048593048,0.048380163,0.047271114,0.048075225,0.048125025,0.047574095,0.049292743,0.048601639,0.047791872,0.047859266,0.045654301
66.96,73.91,0.25,0.25,86.09,56.27,95.03,70.19,69.81,98.88,94.78,0.00,79.50,100.00,97.64,7.58,74.16,78.26,99.75,91.30,71.07,74.24,45.50,48.55,87.33,76.08,92.30,78.31,80.32,97.71,94.25,54.62,91.24,100.00,96.24,57.08,75.13,77.61,99.61,89.29,0.017512212,0.017393200,0.021837568,0.024085142,0.014942520,0.017613485,0.014856542,0.016130423,0.016391290,0.013108422,0.012311086,0.021761300,0.012965801,0.012555050,0.013079716,0.022906180,0.015741393,0.016944245,0.013145299,0.014552582
76.15,85.96,66.83,53.17,98.76,99.38,100.00,100.00,82.86,100.00,97.64,72.55,100.00,100.00,100.00,55.53,98.76,89.32,100.00,100.00,80.66,85.67,73.15,63.79,98.51,98.84,100.00,100.00,91.27,100.00,97.89,77.15,100.00,100.00,100.00,74.54,98.46,87.69,100.00,100.00,0.009634182,0.009710591,0.013102346,0.013654880,0.008079041,0.008846414,0.007509674,0.008302681,0.008329570,0.007458129,0.007388984,0.011375528,0.007884805,0.006999326,0.007271647,0.012707309,0.008051871,0.008951250,0.007054293,0.007931671
80.50,91.18,77.27,64.35,100.00,100.00,100.00,100.00,92.80,100.00,99.75,85.96,100.00,100.00,100.00,81.49,100.00,89.81,100.00,100.00,83.15,90.45,80.45,73.28,100.00,100.00,100.00,100.00,93.29,100.00,99.50,86.68,100.00,100.00,100.00,87.42,100.00,88.36,100.00,100.00,0.007329826,0.007020628,0.009860546,0.010383187,0.006430168,0.006163016,0.005663074,0.005947618,0.006532909,0.005384677,0.005310713,0.009773940,0.006300469,0.005474635,0.005169138,0.008731661,0.005792634,0.006786162,0.005463041,0.005613206
80.50,91.80,84.72,64.35,100.00,100.00,100.00,100.00,95.28,100.00,99.75,86.21,100.00,100.00,100.00,87.33,100.00,89.69,100.00,100.00,83.15,91.54,85.09,73.28,100.00,100.00,100.00,100.00,94.45,100.00,99.50,86.47,100.00,100.00,100.00,87.70,100.00,88.51,100.00,100.00,0.006531093,0.006287478,0.007699370,0.009202199,0.005628082,0.005090494,0.005305195,0.005138617,0.005778456,0.005273904,0.005488954,0.007232534,0.005553140,0.005115080,0.004912951,0.007038089,0.005490909,0.006217983,0.005296394,0.005725095
80.50,91.55,84.10,67.20,100.00,100.00,100.00,100.00,94.91,100.00,99.75,85.84,100.00,100.00,100.00,91.68,100.00,89.69,100.00,100.00,83.15,91.36,85.87,77.70,100.00,100.00,100.00,100.00,95.78,100.00,99.50,88.04,100.00,100.00,100.00,91.88,100.00,88.51,100.00,100.00,0.006412009,0.005854307,0.007056319,0.008316161,0.005298979,0.005232068,0.005189114,0.005417084,0.006113217,0.005550696,0.005169768,0.006761158,0.005139386,0.005211045,0.005105302,0.006778130,0.005304426,0.005937840,0.004998161,0.005565991
80.50,91.55,84.47,67.20,100.00,100.00,100.00,100.00,94.91,100.00,99.75,89.57,100.00,100.00,100.00,91.80,100.00,89.94,100.00,100.00,83.15,91.36,86.13,77.70,100.00,100.00,100.00,100.00,95.78,100.00,99.50,88.92,100.00,100.00,100.00,91.68,100.00,88.64,100.00,100.00,0.006121179,0.005816870,0.006580054,0.007756782,0.005660420,0.004901218,0.005414849,0.005201128,0.005565642,0.005908575,0.005085047,0.006367309,0.005362048,0.005441181,0.004997253,0.006083813,0.005461645,0.006406631,0.005074919,0.005632273
80.50,91.55,89.19,69.81,100.00,100.00,100.00,100.00,95.78,100.00,99.75,89.19,100.00,100.00,100.00,93.91,100.00,89.94,100.00,100.00,83.15,91.36,90.16,77.63,100.00,100.00,100.00,100.00,96.27,100.00,99.50,88.75,100.00,100.00,100.00,93.54,100.00,88.39,100.00,100.00,0.006419622,0.005505646,0.006312901,0.007154798,0.005259447,0.005030569,0.005201337,0.004785277,0.005332713,0.005751985,0.005414779,0.006385817,0.005291086,0.005403185,0.005399274,0.006324635,0.005225433,0.006102113,0.004984821,0.005603428
80.50,91.80,88.07,66.21,100.00,100.00,100.00,100.00,97.52,100.00,99.75,89.57,100.00,100.00,100.00,93.91,100.00,89.94,100.00,100.00,83.15,91.49,89.72,79.99,100.00,100.00,100.00,100.00,96.55,100.00,99.50,89.98,100.00,100.00,100.00,93.54,100.00,88.39,100.00,100.00,0.006202129,0.005634159,0.006386726,0.007847229,0.005148535,0.004669756,0.005179057,0.005062767,0.005811632,0.005612717,0.005296744,0.006296836,0.005278374,0.005258330,0.005380487,0.006162597,0.004850442,0.006164203,0.005585618,0.005350174
