direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.00,0.03,0.03,0.05,0.02,0.03,108.787689209,109.664779663,109.607360840
0.06,0.00,0.00,54.65,30.64,39.51,7.721691132,7.590396881,7.682784081
95.09,0.06,70.79,93.95,58.51,78.46,0.879844248,2.278087854,1.507599831
99.73,67.48,89.73,99.56,79.86,92.98,0.176605597,0.718898058,0.307204515
100.00,73.70,96.30,100.00,84.81,96.99,0.129417345,0.367841780,0.166664749
100.00,78.21,97.82,100.00,87.11,97.91,0.127560481,0.267507315,0.140143171
100.00,74.09,98.12,100.00,86.23,98.19,0.123103067,0.239170074,0.132257402
100.00,79.39,98.48,100.00,87.98,98.83,0.123788022,0.216548413,0.130314559
100.00,79.39,99.33,100.00,87.98,99.26,0.121994443,0.209084660,0.130234316
100.00,80.36,99.33,100.00,88.90,99.26,0.121768497,0.205959633,0.127935410
100.00,80.36,99.45,100.00,88.90,99.32,0.121428914,0.207680300,0.126867980
100.00,81.45,99.64,100.00,88.41,99.56,0.123384185,0.203943744,0.127245978
100.00,81.45,99.64,100.00,88.41,99.56,0.121123210,0.205127105,0.128404975
100.00,81.45,99.64,100.00,88.41,99.56,0.119181626,0.207814336,0.126387596
100.00,81.45,99.64,100.00,88.41,99.56,0.116662636,0.201457649,0.121819481
100.00,81.45,99.64,100.00,88.41,99.56,0.122416846,0.199701011,0.124315128
100.00,81.45,99.64,100.00,88.41,99.61,0.122662701,0.195784882,0.126530573
100.00,81.45,99.64,100.00,88.41,99.61,0.119997121,0.194588676,0.124808162
100.00,80.06,99.64,100.00,89.71,99.61,0.122500665,0.197883755,0.127579138
100.00,80.06,99.64,100.00,89.71,99.61,0.120667264,0.194365025,0.124169014
100.00,80.06,99.64,100.00,89.71,99.61,0.123781666,0.191605508,0.124709398
100.00,80.06,99.64,100.00,89.71,99.61,0.120059207,0.199369892,0.123963401
100.00,80.06,99.64,100.00,89.71,99.61,0.125675410,0.192964315,0.124450073
100.00,80.06,99.64,100.00,89.71,99.61,0.123933993,0.193306759,0.123283543
100.00,80.06,99.88,100.00,89.71,99.76,0.122535937,0.196158484,0.127831832
100.00,80.06,99.82,100.00,89.71,99.74,0.123142883,0.197000578,0.124974869
100.00,80.06,99.82,100.00,89.71,99.74,0.120858639,0.199463964,0.124169931
100.00,80.06,99.82,100.00,89.71,99.74,0.119022518,0.192703098,0.124318905
100.00,80.06,99.82,100.00,89.71,99.74,0.120903343,0.198508576,0.122023985
100.00,82.48,99.82,100.00,89.80,99.74,0.119809583,0.190621257,0.124382317
100.00,82.48,99.94,100.00,89.80,99.88,0.118206672,0.200226724,0.123007730
100.00,82.48,99.94,100.00,89.80,99.88,0.122255377,0.199242085,0.124247387
100.00,82.48,99.94,100.00,89.80,99.88,0.121069640,0.197353497,0.125455603
100.00,82.48,99.94,100.00,89.80,99.88,0.119882226,0.196896806,0.125536069
100.00,82.48,99.94,100.00,89.80,99.88,0.122954927,0.197906449,0.124750122
100.00,82.48,99.94,100.00,89.80,99.88,0.123939790,0.198918268,0.122232184
100.00,82.48,99.94,100.00,89.80,99.88,0.121215053,0.192261547,0.128815010
100.00,82.48,99.94,100.00,89.80,99.88,0.122538939,0.198321894,0.125334427
100.00,82.48,99.94,100.00,89.80,99.88,0.121681467,0.197815582,0.125409156
100.00,82.79,99.94,100.00,89.75,99.88,0.122035787,0.193132907,0.121974185
100.00,82.79,99.94,100.00,89.75,99.88,0.120269023,0.199022070,0.120978631
100.00,82.79,99.94,100.00,89.75,99.88,0.122667663,0.199512929,0.124629006
100.00,82.79,99.94,100.00,89.75,99.88,0.122100115,0.193400562,0.122577421
100.00,82.79,99.94,100.00,89.75,99.88,0.109700978,0.198294282,0.122699648
100.00,82.79,99.94,100.00,89.75,99.88,0.109707825,0.199335590,0.129795551
100.00,82.79,99.94,100.00,89.75,99.88,0.108751595,0.196573347,0.129414901
100.00,82.79,99.94,100.00,89.75,99.88,0.110509276,0.198588893,0.122726329
100.00,82.79,99.88,100.00,89.75,99.86,0.112145573,0.194252506,0.123343185
100.00,82.79,99.88,100.00,89.75,99.86,0.108129285,0.182254419,0.125036746
100.00,82.79,99.88,100.00,89.75,99.86,0.106378660,0.185253799,0.125985652
100.00,82.79,99.88,100.00,89.75,99.86,0.107676074,0.184599340,0.126044244
100.00,82.79,99.88,100.00,89.75,99.86,0.110605665,0.181435853,0.125498429
100.00,82.79,99.88,100.00,89.75,99.86,0.110641003,0.178672567,0.120188631
100.00,82.79,99.88,100.00,89.75,99.86,0.109063096,0.174510717,0.122871950
100.00,82.79,99.88,100.00,89.75,99.86,0.108078018,0.181736469,0.125367329
100.00,82.79,99.88,100.00,89.75,99.86,0.108217776,0.181272775,0.123517022
100.00,82.79,99.88,100.00,89.75,99.86,0.106992021,0.182800382,0.128329471
100.00,82.79,99.88,100.00,89.75,99.86,0.105955191,0.187523574,0.124702416
100.00,82.79,99.88,100.00,89.75,99.86,0.110381819,0.181807131,0.123754777
100.00,82.79,99.88,100.00,89.75,99.86,0.108877666,0.189159721,0.125369489
100.00,82.79,99.88,100.00,89.75,99.86,0.108664423,0.185740739,0.122639999
