direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.23,0.23,0.69,0.23,0.00,0.23,0.00,0.46,0.46,0.00,0.00,0.23,0.23,0.00,0.69,0.46,0.46,0.23,0.23,0.00,0.37,0.23,0.00,0.35,0.00,0.00,0.23,0.37,0.58,0.29,0.39,0.48,0.35,0.15,0.00,0.37,0.00,0.35,0.15,0.00,0.071640447,0.071567386,0.055492021,0.040516760,0.064205512,0.078114823,0.080835447,0.100984447,0.042080842,0.074565642,0.040876385,0.040279642,0.083868824,0.065478340,0.063563652,0.040913891,0.040531423,0.045687642,0.043407314,0.041579571
0.00,0.23,0.46,0.23,0.23,0.00,0.93,0.00,0.00,0.23,0.00,1.16,0.00,0.69,0.00,0.23,0.46,0.00,0.46,0.46,24.46,30.34,36.40,23.61,46.88,28.65,26.52,54.75,32.75,29.03,29.36,30.03,29.21,44.29,32.29,34.16,38.52,34.57,54.80,40.51,0.002725930,0.003229993,0.002047189,0.002283890,0.002815610,0.003658135,0.002437686,0.002806181,0.002454588,0.004024465,0.001990755,0.001609060,0.002740597,0.002317764,0.001873279,0.002420224,0.002386071,0.002703510,0.003265892,0.002741506
0.00,0.23,0.23,0.46,1.85,3.70,1.16,0.00,0.00,0.00,0.69,0.00,2.08,0.23,0.23,71.53,0.00,0.00,100.00,88.66,37.31,59.82,59.22,39.72,67.03,50.68,47.67,76.35,55.48,52.84,63.56,75.81,53.05,69.04,52.99,75.89,65.66,66.32,100.00,86.50,0.001558423,0.001798965,0.002013734,0.001297068,0.001156682,0.002579608,0.001602564,0.001254812,0.001190695,0.002138195,0.001651664,0.000963564,0.001038017,0.001352873,0.001308941,0.001258584,0.001267035,0.001898073,0.001391427,0.001676109
0.23,0.23,0.00,0.23,92.59,50.23,66.90,100.00,27.31,82.41,45.14,86.34,0.00,95.37,0.23,92.36,0.00,0.69,100.00,95.37,41.96,69.89,75.54,57.72,92.01,66.20,73.65,100.00,75.04,80.19,83.56,86.15,67.52,96.66,70.72,89.27,79.38,79.57,100.00,95.20,0.001220938,0.001449956,0.001145158,0.001020277,0.001111563,0.001798266,0.001346307,0.000960840,0.000967335,0.001885082,0.000785113,0.000801247,0.000827578,0.000981793,0.001009661,0.000936395,0.001028169,0.001389890,0.000993736,0.000818010
0.23,0.23,0.00,0.00,99.54,45.60,90.51,100.00,96.06,90.97,98.15,93.06,74.54,100.00,0.00,97.22,92.82,0.00,100.00,95.83,41.96,69.89,84.86,59.86,99.07,73.26,89.02,100.00,94.66,87.35,97.99,93.60,78.36,100.00,73.09,98.51,95.06,82.21,100.00,95.51,0.000996460,0.000988289,0.000917467,0.000979069,0.000831768,0.001457359,0.000911041,0.000747327,0.000746699,0.001340929,0.000883104,0.000785672,0.000589830,0.000755360,0.000901124,0.000710870,0.000853211,0.000988428,0.000668824,0.000764789
62.27,75.00,0.23,0.69,100.00,45.60,93.98,100.00,96.06,93.29,100.00,92.36,75.23,100.00,0.00,100.00,100.00,0.00,100.00,97.69,65.28,73.19,89.26,60.47,100.00,73.26,94.23,100.00,94.66,91.57,100.00,94.62,79.22,100.00,80.50,100.00,100.00,85.09,100.00,97.26,0.001302585,0.001089911,0.000814867,0.000796428,0.000845458,0.001089423,0.000746350,0.000762205,0.000820035,0.001094521,0.000525434,0.000516913,0.000709542,0.000689916,0.000784904,0.000586198,0.000671617,0.000911949,0.000913346,0.000621400
62.27,78.94,0.00,0.46,100.00,56.94,93.98,100.00,97.45,96.76,100.00,92.36,74.54,100.00,78.47,100.00,100.00,0.00,100.00,97.69,65.28,75.68,93.27,61.11,100.00,80.54,94.66,100.00,96.64,94.46,100.00,94.85,79.82,100.00,85.05,100.00,100.00,87.69,100.00,97.26,0.000921937,0.000951691,0.000842175,0.000854608,0.000591158,0.001074964,0.000646683,0.000692640,0.000789863,0.001036132,0.000561823,0.000692710,0.000677623,0.000716247,0.000817870,0.000578236,0.000740274,0.001107722,0.000901962,0.000594510
63.89,78.70,0.00,0.00,100.00,56.94,93.98,100.00,98.38,97.45,100.00,92.36,74.54,100.00,78.47,100.00,100.00,0.00,100.00,97.69,67.77,76.58,93.27,62.25,100.00,80.54,94.66,100.00,98.03,95.47,100.00,94.85,79.82,100.00,85.05,100.00,100.00,89.06,100.00,97.26,0.000750261,0.001042767,0.000694107,0.000737829,0.000634880,0.001020765,0.000816752,0.000764230,0.000650035,0.001023141,0.000425139,0.000587734,0.000602961,0.000597163,0.000684539,0.000508463,0.000626917,0.000970059,0.000584732,0.000609526
64.35,79.40,0.00,0.46,100.00,56.94,93.98,100.00,98.38,98.15,100.00,92.36,74.54,100.00,78.47,100.00,100.00,90.28,100.00,99.54,69.54,76.87,93.81,61.55,100.00,80.54,94.66,100.00,98.03,96.76,100.00,94.85,79.82,100.00,85.05,100.00,100.00,92.09,100.00,99.19,0.000726445,0.000730565,0.000631527,0.000721695,0.000581938,0.000967615,0.000806765,0.000686005,0.000637394,0.000822619,0.000634740,0.000606802,0.000640467,0.000558400,0.000573836,0.000760807,0.000479268,0.000833445,0.000785392,0.000612460
64.35,79.40,0.00,0.46,100.00,56.94,93.98,100.00,98.38,98.15,100.00,92.36,79.40,100.00,78.47,100.00,100.00,90.28,100.00,99.54,69.54,76.87,93.81,61.55,100.00,80.54,94.66,100.00,98.03,96.76,100.00,94.85,80.54,100.00,85.05,100.00,100.00,92.09,100.00,99.19,0.000724280,0.000701092,0.000575791,0.000728051,0.000884151,0.001094102,0.001224709,0.000679719,0.000587316,0.000844131,0.000551905,0.000521034,0.000610574,0.000638022,0.000587875,0.000485973,0.000447977,0.000712336,0.000850417,0.000897422
