direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.37,0.56,0.00,0.00,0.56,0.19,0.00,0.00,0.37,0.00,0.00,0.19,0.19,0.00,0.37,0.00,0.00,0.93,0.00,0.19,0.19,0.00,0.77,0.56,0.49,0.40,0.19,0.11,0.19,0.46,0.20,0.19,0.19,0.32,0.11,0.22,0.34,0.00,0.09,0.00,2.092722893,1.967436194,2.088419914,1.945028305,1.944411397,1.939994335,2.102074623,2.167303562,1.998791218,2.053414583,2.026133299,2.310188770,2.013357162,2.322788239,2.058449030,2.263980150,1.968070984,2.326350927,1.986838818,2.315001726
0.00,0.00,3.15,0.56,0.00,0.37,0.00,2.59,0.00,0.00,0.00,1.11,0.56,76.11,0.00,1.11,0.56,0.74,0.00,0.93,39.75,34.23,32.48,62.15,50.46,38.61,64.38,27.41,34.89,67.82,72.89,40.32,61.16,71.91,69.06,62.96,26.90,39.31,52.10,40.54,0.088322274,0.092733696,0.090518557,0.091545597,0.088634267,0.092214413,0.092256181,0.092363954,0.091398306,0.091067873,0.086275525,0.092958033,0.091002434,0.086475901,0.088959031,0.088614359,0.095915258,0.089444511,0.096065901,0.099325478
95.74,84.07,27.78,95.19,90.56,76.11,100.00,4.26,78.89,100.00,100.00,96.85,97.78,99.07,100.00,100.00,0.56,69.44,96.67,85.19,95.12,82.53,44.24,93.41,89.06,81.34,100.00,49.43,80.59,100.00,100.00,94.66,96.47,98.33,100.00,100.00,51.31,67.92,95.71,81.68,0.039737385,0.042367116,0.055511914,0.037260056,0.042650536,0.039181642,0.038766988,0.057815202,0.041910902,0.034151483,0.033028685,0.036529079,0.037774168,0.033556208,0.032248680,0.033190023,0.052817233,0.044701129,0.039024428,0.045826647
100.00,90.00,36.85,100.00,95.00,99.63,100.00,1.11,95.93,100.00,100.00,99.44,100.00,100.00,100.00,100.00,68.52,88.52,100.00,100.00,100.00,89.03,56.17,100.00,94.61,99.29,100.00,59.15,94.71,100.00,100.00,99.10,100.00,100.00,100.00,100.00,78.06,87.53,100.00,100.00,0.024976067,0.028928485,0.040254295,0.025308313,0.028462002,0.026243228,0.024710316,0.042687695,0.027775863,0.022810375,0.021762032,0.023540165,0.024751732,0.022083521,0.020533772,0.021702316,0.037976574,0.030156463,0.025364535,0.029995127
100.00,92.41,51.30,100.00,96.30,100.00,100.00,52.04,99.44,100.00,100.00,99.44,100.00,100.00,100.00,100.00,85.56,84.44,100.00,100.00,100.00,92.93,69.04,100.00,95.48,100.00,100.00,66.77,98.90,100.00,100.00,99.10,100.00,100.00,100.00,100.00,87.08,86.31,100.00,100.00,0.019397568,0.021399615,0.035505179,0.019000020,0.020395763,0.021195816,0.017795717,0.034678869,0.021358199,0.018253051,0.016340120,0.016829440,0.018621331,0.016423723,0.016080234,0.016351784,0.030574264,0.023267917,0.019082086,0.022160625
100.00,91.85,47.41,100.00,97.22,100.00,100.00,52.04,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,85.56,84.44,100.00,100.00,100.00,92.27,70.20,100.00,97.07,100.00,100.00,66.77,99.27,100.00,100.00,99.10,100.00,100.00,100.00,100.00,87.08,86.84,100.00,100.00,0.017231176,0.020243647,0.030526420,0.018222459,0.020252516,0.019601019,0.017813737,0.032080360,0.018720580,0.017864792,0.016230537,0.016093085,0.017640527,0.015901227,0.015953818,0.015947044,0.025665417,0.020957513,0.018154291,0.017476954
100.00,91.85,58.15,100.00,97.22,100.00,100.00,52.96,99.26,100.00,100.00,99.44,100.00,100.00,100.00,100.00,87.41,88.15,100.00,100.00,100.00,92.27,78.84,100.00,97.07,100.00,100.00,66.00,98.72,100.00,100.00,99.10,100.00,100.00,100.00,100.00,87.98,89.01,100.00,100.00,0.017411441,0.019408671,0.028006835,0.019152908,0.018384911,0.018528022,0.017956356,0.030757951,0.017889028,0.017576620,0.015931468,0.015819510,0.017882671,0.015632959,0.015840882,0.016016956,0.023418987,0.020813076,0.018341612,0.017156165
100.00,91.85,58.15,100.00,97.22,100.00,100.00,56.85,99.26,100.00,100.00,99.44,100.00,100.00,100.00,100.00,86.67,88.15,100.00,100.00,100.00,92.27,78.84,100.00,97.07,100.00,100.00,69.04,98.72,100.00,100.00,99.10,100.00,100.00,100.00,100.00,87.96,89.01,100.00,100.00,0.017006772,0.019352170,0.026333744,0.018261291,0.018895395,0.018775336,0.018873187,0.030865161,0.017629003,0.017901599,0.015994746,0.016152311,0.017830428,0.016053066,0.015935939,0.016489094,0.023582701,0.020612696,0.018005596,0.018480107
100.00,91.85,58.15,100.00,97.22,100.00,100.00,56.11,99.26,100.00,100.00,99.44,100.00,100.00,100.00,100.00,88.52,88.15,100.00,100.00,100.00,92.27,78.84,100.00,97.07,100.00,100.00,67.96,98.72,100.00,100.00,99.10,100.00,100.00,100.00,100.00,91.47,89.01,100.00,100.00,0.017779164,0.018862847,0.026243160,0.018119650,0.017809685,0.018706961,0.017421640,0.029719455,0.019397989,0.017874779,0.015911913,0.015929094,0.017938199,0.015896617,0.015852338,0.017527800,0.025938991,0.020906456,0.017925208,0.017641854
100.00,93.33,58.15,100.00,97.22,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,88.33,88.15,100.00,100.00,100.00,92.95,78.84,100.00,97.07,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,91.08,89.01,100.00,100.00,0.017383713,0.019688604,0.026201185,0.017760169,0.018764231,0.018789023,0.018237475,0.028940566,0.019066652,0.017907117,0.015705874,0.015950466,0.017543307,0.015778860,0.016033439,0.017918572,0.022684380,0.021379292,0.017828964,0.018072225
100.00,93.33,58.15,100.00,97.22,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,95.93,88.15,100.00,100.00,100.00,92.95,78.84,100.00,97.07,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,95.83,89.01,100.00,100.00,0.017159307,0.019068047,0.025870198,0.017590309,0.018763602,0.018901544,0.018546671,0.029211348,0.018514542,0.017602252,0.015838018,0.016309949,0.017712604,0.015786475,0.015984340,0.017624812,0.021781379,0.021496139,0.018262060,0.017833294
100.00,93.33,58.15,100.00,97.22,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,95.93,88.15,100.00,100.00,100.00,92.95,78.84,100.00,97.07,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,95.83,89.01,100.00,100.00,0.017443150,0.019681130,0.025721712,0.018547367,0.017581789,0.018821014,0.018291604,0.032658521,0.019023769,0.017964948,0.015992999,0.015917081,0.018190259,0.015824677,0.016112221,0.018023197,0.022120466,0.020844923,0.018378835,0.017602740
100.00,93.33,58.15,100.00,97.22,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,95.93,88.15,100.00,100.00,100.00,92.95,78.84,100.00,97.07,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,95.83,89.01,100.00,100.00,0.018170075,0.019007005,0.025438009,0.018675180,0.018154852,0.018581241,0.017218955,0.030065319,0.019697543,0.017842164,0.015874267,0.015801420,0.017850056,0.015995096,0.016083168,0.017903626,0.022860454,0.020920984,0.018156389,0.017362973
100.00,93.33,58.15,100.00,97.22,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,95.93,88.15,100.00,100.00,100.00,92.95,78.84,100.00,97.07,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,95.83,89.01,100.00,100.00,0.018795032,0.018442534,0.024673648,0.017110975,0.017279789,0.017516067,0.018425422,0.029981088,0.018488349,0.018017748,0.016402770,0.015853176,0.018514402,0.015842907,0.015999986,0.017685367,0.022565717,0.020792123,0.017930584,0.016630178
100.00,93.33,58.15,100.00,97.22,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,95.93,88.15,100.00,100.00,100.00,92.95,78.84,100.00,97.07,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,95.83,89.01,100.00,100.00,0.017747248,0.018276097,0.024615468,0.018136691,0.018349504,0.018014884,0.018180901,0.030612536,0.019142989,0.018381700,0.017352773,0.015987484,0.017747456,0.016073599,0.015933773,0.018064544,0.022983167,0.020973437,0.017046092,0.016750028
100.00,93.33,58.15,100.00,97.22,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,95.93,88.15,100.00,100.00,100.00,92.95,78.84,100.00,97.07,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,95.83,89.01,100.00,100.00,0.017200723,0.018364171,0.024667151,0.017977728,0.018626221,0.017226497,0.017734326,0.030211920,0.018045897,0.018047852,0.016752962,0.016017864,0.017611541,0.016155524,0.015724104,0.017865770,0.022525556,0.020611228,0.017387344,0.016400045
100.00,93.33,58.15,100.00,97.22,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,93.52,88.15,100.00,100.00,100.00,92.95,78.84,100.00,97.07,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,94.80,89.01,100.00,100.00,0.017634731,0.018608620,0.024335885,0.018615816,0.018343216,0.017601203,0.017422477,0.030070696,0.018881915,0.018136552,0.016568577,0.016398020,0.017856551,0.016149240,0.015715305,0.017640108,0.022263993,0.020572467,0.017625861,0.017139962
100.00,94.44,58.15,100.00,96.85,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,93.52,88.15,100.00,100.00,100.00,93.83,78.84,100.00,97.02,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,94.80,89.01,100.00,100.00,0.017669093,0.019367184,0.024265904,0.018016143,0.018174756,0.017520048,0.018152269,0.030058334,0.018964261,0.017814646,0.017034568,0.015921410,0.018205348,0.015947113,0.016096577,0.018040167,0.022181859,0.021029519,0.017543236,0.017421778
100.00,94.44,55.19,100.00,96.85,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,93.52,88.15,100.00,100.00,100.00,93.83,76.57,100.00,97.02,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,94.80,89.01,100.00,100.00,0.017176980,0.018992618,0.025051778,0.018460484,0.017917665,0.016784741,0.018312696,0.029781407,0.018560501,0.018163512,0.016314209,0.016195266,0.017730905,0.015714817,0.015988041,0.017879460,0.022340542,0.021397592,0.017648488,0.017872404
100.00,94.44,55.19,100.00,96.85,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,93.52,88.15,100.00,100.00,100.00,93.83,76.57,100.00,97.02,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,94.80,89.01,100.00,100.00,0.018107077,0.018219035,0.024894420,0.017938616,0.017890705,0.017048748,0.017351937,0.029515304,0.018848673,0.017754439,0.017061528,0.016011020,0.017930163,0.015821466,0.015987692,0.017948674,0.022082541,0.020959957,0.017607631,0.018182717
100.00,94.07,55.19,100.00,96.85,100.00,100.00,55.56,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,93.52,88.15,100.00,100.00,100.00,93.58,76.57,100.00,97.02,100.00,100.00,73.18,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,94.80,89.01,100.00,100.00,0.017106228,0.019228548,0.024877800,0.017307445,0.017375264,0.018036816,0.016660700,0.030071951,0.017965436,0.017662596,0.018141789,0.016321752,0.017842725,0.015814761,0.015878389,0.017307583,0.022527721,0.021139592,0.017750740,0.017766103
100.00,94.07,55.19,100.00,96.85,100.00,100.00,57.78,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,93.52,88.15,100.00,100.00,100.00,93.58,76.57,100.00,97.02,100.00,100.00,71.53,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,94.80,89.01,100.00,100.00,0.017245283,0.018671131,0.024782045,0.018015932,0.018296285,0.017554969,0.016964586,0.030298173,0.017745711,0.017637035,0.017810317,0.016248764,0.017655823,0.015813643,0.015885023,0.017609866,0.022514243,0.021425180,0.017340202,0.018126424
100.00,94.07,55.74,100.00,96.85,100.00,100.00,57.78,99.63,100.00,100.00,99.44,100.00,100.00,100.00,100.00,93.52,88.15,100.00,100.00,100.00,93.58,77.47,100.00,97.02,100.00,100.00,71.53,99.37,100.00,100.00,99.10,100.00,100.00,100.00,100.00,94.80,89.01,100.00,100.00,0.016946636,0.019109953,0.023621252,0.017106716,0.017672444,0.017110698,0.016780481,0.029814793,0.018067408,0.017879808,0.017113840,0.016077580,0.017839439,0.016013743,0.015951375,0.017756326,0.022248838,0.019978870,0.017347187,0.018483112
