direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.46,0.23,0.23,0.23,0.00,0.23,0.46,0.46,0.46,0.00,0.00,0.23,0.23,0.23,0.00,0.23,0.46,0.23,0.46,0.00,0.23,0.27,0.23,0.23,0.50,0.12,0.39,0.12,0.00,0.00,0.27,0.14,0.23,0.12,0.31,0.00,0.31,0.62,0.35,0.25,0.101249442,0.040776651,0.039918620,0.040266097,0.039200071,0.040812619,0.037874293,0.042250007,0.039629821,0.040231943,0.065931633,0.041785128,0.040294450,0.039745685,0.040392231,0.038967840,0.040461797,0.040736564,0.039949283,0.038957782
0.46,0.00,0.69,0.69,0.23,0.00,0.46,0.93,0.00,0.00,48.38,0.93,0.23,0.23,0.46,0.23,0.93,0.23,0.46,0.00,19.50,38.18,32.20,25.75,41.82,39.95,33.78,31.04,35.11,29.38,47.65,45.79,34.32,44.44,33.80,37.27,38.93,32.18,53.41,49.96,0.006521239,0.003700670,0.003389935,0.004676387,0.003613854,0.004540401,0.003545268,0.005027631,0.003475354,0.003262889,0.005209504,0.004863079,0.004496330,0.004755729,0.004144108,0.003447836,0.004765647,0.003642071,0.004343931,0.003400830
2.08,0.93,0.00,0.23,2.55,0.23,49.77,56.02,0.00,0.46,81.71,80.32,4.86,91.67,0.46,65.74,0.46,71.53,86.34,83.10,44.79,61.32,65.84,44.89,77.01,53.20,60.59,80.71,64.72,61.71,78.18,86.54,61.55,90.86,53.40,63.70,73.34,69.97,85.65,82.97,0.003408234,0.001785834,0.001719273,0.002384395,0.001574557,0.002609780,0.001971758,0.002517377,0.002091680,0.002042301,0.003190601,0.002374407,0.002249667,0.002467369,0.002541124,0.001817334,0.002374616,0.002141199,0.001564150,0.001577560
2.08,80.09,97.45,62.04,98.61,27.08,82.18,98.15,70.14,92.59,99.54,83.56,60.42,99.54,0.00,96.99,88.66,0.00,100.00,96.53,44.79,75.54,95.14,59.03,97.84,64.47,80.44,98.05,82.54,88.54,99.09,88.87,72.53,99.23,82.56,98.34,90.61,79.84,100.00,98.11,0.002869529,0.001374245,0.001275137,0.001861754,0.001147672,0.002207830,0.001387795,0.002173886,0.001547737,0.001721997,0.002495517,0.001675620,0.001535933,0.001326053,0.001430609,0.001337857,0.001718645,0.002107255,0.001109956,0.001166670
60.42,83.33,100.00,62.04,100.00,83.33,95.60,100.00,95.60,100.00,100.00,92.82,81.94,100.00,0.00,98.15,99.54,85.65,100.00,99.54,69.17,81.21,100.00,59.03,100.00,83.56,95.02,100.00,94.46,100.00,100.00,94.43,79.71,100.00,87.11,98.50,99.27,88.00,100.00,99.19,0.002317275,0.001229390,0.001295881,0.001757757,0.000932134,0.002140640,0.001139920,0.001390449,0.001602354,0.001665983,0.001582729,0.001336111,0.001275137,0.001035643,0.001395897,0.001200124,0.001355387,0.001247968,0.000909645,0.000963075
60.42,83.33,100.00,62.04,100.00,85.65,95.60,100.00,97.45,100.00,100.00,92.82,80.79,100.00,0.00,100.00,100.00,87.96,100.00,100.00,69.17,81.21,100.00,59.03,100.00,87.36,95.18,100.00,96.88,100.00,100.00,94.43,80.15,100.00,87.11,100.00,100.00,91.51,100.00,100.00,0.002128417,0.001076292,0.000953576,0.001870206,0.000782529,0.001498218,0.001092566,0.001326752,0.001076012,0.000974250,0.001206341,0.001310547,0.001161850,0.001203268,0.001171489,0.000941144,0.001197471,0.001187553,0.001182873,0.000887993
66.20,83.33,100.00,62.04,100.00,85.65,98.15,100.00,97.69,100.00,100.00,92.82,83.56,100.00,0.00,100.00,100.00,87.96,100.00,100.00,72.97,81.21,100.00,59.03,100.00,87.36,96.86,100.00,97.22,100.00,100.00,94.43,83.41,100.00,85.84,100.00,100.00,91.51,100.00,100.00,0.001845341,0.001124204,0.000799361,0.001668776,0.000774776,0.001409167,0.001061205,0.001145227,0.001005471,0.000861872,0.001409446,0.001315087,0.001036900,0.001190067,0.001287150,0.000918235,0.001164854,0.001238819,0.000989826,0.000945754
52.08,84.49,100.00,0.46,100.00,86.81,99.07,100.00,100.00,100.00,100.00,97.22,83.56,100.00,0.00,100.00,100.00,87.96,100.00,100.00,74.11,82.60,100.00,59.14,100.00,87.85,98.13,100.00,100.00,100.00,100.00,97.70,83.41,100.00,85.84,100.00,100.00,91.51,100.00,100.00,0.001828509,0.001023141,0.000793635,0.001551020,0.000760878,0.001351336,0.001119315,0.001222265,0.000914324,0.000818778,0.001463366,0.001078526,0.001335203,0.001066234,0.000999254,0.000844061,0.001364676,0.001198588,0.001138872,0.000925359
76.39,84.49,100.00,0.46,100.00,87.73,99.07,100.00,100.00,100.00,100.00,97.22,83.56,100.00,0.23,100.00,100.00,87.96,100.00,100.00,79.57,82.60,100.00,59.14,100.00,89.85,98.13,100.00,100.00,100.00,100.00,97.70,83.41,100.00,86.32,100.00,100.00,91.51,100.00,100.00,0.002146926,0.000986822,0.000797895,0.001489138,0.000787348,0.001212627,0.000904127,0.001202500,0.000903638,0.000833934,0.001406233,0.001087955,0.000974390,0.000832537,0.001186436,0.000834632,0.001420971,0.000897701,0.000894768,0.001291271
87.73,84.49,100.00,0.46,100.00,89.58,99.07,100.00,100.00,100.00,100.00,97.69,83.56,100.00,0.00,100.00,100.00,88.89,100.00,100.00,84.30,82.60,100.00,59.14,100.00,90.51,98.13,100.00,100.00,100.00,100.00,98.28,83.41,100.00,89.39,100.00,100.00,93.00,100.00,100.00,0.002143853,0.001476915,0.000834633,0.001818521,0.000799571,0.001119455,0.000931994,0.001168765,0.000985146,0.000908947,0.001155634,0.000860684,0.001340790,0.001056526,0.001327101,0.000947919,0.001193769,0.000882405,0.000839312,0.001470489
